molecule,SMILES,solvent,f_zwit_exp,f_zwit_pred,job_messages,run_ok,run_returncode,result_dir
Alanine,C[C@H](N)C(=O)O,water,,0.9999823596366872,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/aq/000_alanine
Arginine,N=C(N)NCCC[C@H](N)C(=O)O,water,,0.9999999999999978,[2026-07-20 13:25:03] USER WARNING: gxtb optimization still has connectivity mismatch after relaxed retry at convergence=crude (initial=loose) | [2026-07-20 13:25:03] USER WARNING: g-xTB gas-phase refinement fallback: g-xTB gas-phase re-optimization connectivity mismatch against input mol; discarding g-xTB geometry and falling back to g-xTB SP on GFN2-xTB/ALPB geometry | [2026-07-20 13:25:06] USER WARNING: gxtb optimization still has connectivity mismatch after relaxed retry at convergence=crude (initial=loose) | [2026-07-20 13:25:06] USER WARNING: g-xTB gas-phase refinement fallback: g-xTB gas-phase re-optimization connectivity mismatch against input mol; discarding g-xTB geometry and falling back to g-xTB SP on GFN2-xTB/ALPB geometry | [2026-07-20 13:25:58] Aggregate user warnings: 4 warning(s) recorded | [2026-07-20 13:25:58]   Warning 1: gxtb optimization still has connectivity mismatch after relaxed retry at convergence=crude (initial=loose) | [2026-07-20 13:25:58]   Warning 2: g-xTB gas-phase refinement fallback: g-xTB gas-phase re-optimization connectivity mismatch against input mol; discarding g-xTB geometry and falling back to g-xTB SP on GFN2-xTB/ALPB geometry | [2026-07-20 13:25:58]   Warning 3: gxtb optimization still has connectivity mismatch after relaxed retry at convergence=crude (initial=loose) | [2026-07-20 13:25:58]   Warning 4: g-xTB gas-phase refinement fallback: g-xTB gas-phase re-optimization connectivity mismatch against input mol; discarding g-xTB geometry and falling back to g-xTB SP on GFN2-xTB/ALPB geometry,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/aq/001_arginine
Asparagine,NC(=O)C[C@H](N)C(=O)O,water,,0.9999131416237791,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/aq/002_asparagine
Aspartic acid,N[C@@H](CC(=O)O)C(=O)O,water,,0.9999968860414855,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/aq/003_aspartic-acid
Cysteine,N[C@@H](CS)C(=O)O,water,,0.9999918849187046,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/aq/004_cysteine
Glutamine,NC(=O)CCC(N)C(=O)O,water,,0.9999974627593219,[2026-07-20 13:27:06] USER WARNING: gxtb optimization still has connectivity mismatch after relaxed retry at convergence=crude (initial=loose) | [2026-07-20 13:27:06] USER WARNING: g-xTB gas-phase refinement fallback: g-xTB gas-phase re-optimization connectivity mismatch against input mol; discarding g-xTB geometry and falling back to g-xTB SP on GFN2-xTB/ALPB geometry | [2026-07-20 13:27:12] USER WARNING: gxtb optimization still has connectivity mismatch after relaxed retry at convergence=crude (initial=loose) | [2026-07-20 13:27:12] USER WARNING: g-xTB gas-phase refinement fallback: g-xTB gas-phase re-optimization connectivity mismatch against input mol; discarding g-xTB geometry and falling back to g-xTB SP on GFN2-xTB/ALPB geometry | [2026-07-20 13:27:43] USER WARNING: gxtb optimization still has connectivity mismatch after relaxed retry at convergence=crude (initial=loose) | [2026-07-20 13:27:43] USER WARNING: g-xTB gas-phase refinement fallback: g-xTB gas-phase re-optimization connectivity mismatch against input mol; discarding g-xTB geometry and falling back to g-xTB SP on GFN2-xTB/ALPB geometry | [2026-07-20 13:27:49] USER WARNING: gxtb optimization still has connectivity mismatch after relaxed retry at convergence=crude (initial=loose) | [2026-07-20 13:27:49] USER WARNING: g-xTB gas-phase refinement fallback: g-xTB gas-phase re-optimization connectivity mismatch against input mol; discarding g-xTB geometry and falling back to g-xTB SP on GFN2-xTB/ALPB geometry | [2026-07-20 13:27:50] Aggregate user warnings: 8 warning(s) recorded | [2026-07-20 13:27:50]   Warning 1: gxtb optimization still has connectivity mismatch after relaxed retry at convergence=crude (initial=loose) | [2026-07-20 13:27:50]   Warning 2: g-xTB gas-phase refinement fallback: g-xTB gas-phase re-optimization connectivity mismatch against input mol; discarding g-xTB geometry and falling back to g-xTB SP on GFN2-xTB/ALPB geometry | [2026-07-20 13:27:50]   Warning 3: gxtb optimization still has connectivity mismatch after relaxed retry at convergence=crude (initial=loose) | [2026-07-20 13:27:50]   Warning 4: g-xTB gas-phase refinement fallback: g-xTB gas-phase re-optimization connectivity mismatch against input mol; discarding g-xTB geometry and falling back to g-xTB SP on GFN2-xTB/ALPB geometry | [2026-07-20 13:27:50]   Warning 5: gxtb optimization still has connectivity mismatch after relaxed retry at convergence=crude (initial=loose) | [2026-07-20 13:27:50]   Warning 6: g-xTB gas-phase refinement fallback: g-xTB gas-phase re-optimization connectivity mismatch against input mol; discarding g-xTB geometry and falling back to g-xTB SP on GFN2-xTB/ALPB geometry | [2026-07-20 13:27:50]   Warning 7: gxtb optimization still has connectivity mismatch after relaxed retry at convergence=crude (initial=loose) | [2026-07-20 13:27:50]   Warning 8: g-xTB gas-phase refinement fallback: g-xTB gas-phase re-optimization connectivity mismatch against input mol; discarding g-xTB geometry and falling back to g-xTB SP on GFN2-xTB/ALPB geometry,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/aq/005_glutamine
Glutamic acid,N[C@@H](CCC(=O)O)C(=O)O,water,,0.9999876826104385,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/aq/006_glutamic-acid
Glycine,NCC(=O)O,water,,0.9996531355492556,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/aq/007_glycine
Histidine,N[C@@H](Cc1c[nH]cn1)C(=O)O,water,,0.9999999584496321,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/aq/008_histidine
Isoleucine,CC[C@H](C)[C@H](N)C(=O)O,water,,0.9999770282344472,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/aq/009_isoleucine
