molecule,SMILES,solvent,f_zwit_exp,f_zwit_pred,job_messages,run_ok,run_returncode,result_dir
glycine,NCC(=O)O,dmso,0.975609756097561,0.9636248686998804,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/nonaq/000_glycine
methylglycine,CNCC(=O)O,dmso,0.964285714285714,0.0881385873085473,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/nonaq/001_methylglycine
dimethylglycine,CN(C)CC(=O)O,dmso,0.666666666666667,0.1076036061585863,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/nonaq/002_dimethylglycine
serine,NC(CO)C(=O)O,dmso,0.967741935483871,0.9962985015671876,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/nonaq/003_serine
phenylalanine,NC(Cc1ccccc1)C(=O)O,dmso,0.941176470588235,0.998816347192959,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/nonaq/004_phenylalanine
mulfasin,CC(N)(Cc1ccc(O)c(O)c1)C(=O)O,dmso,0.9,0.9999975076071173,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/nonaq/005_mulfasin
lysine,NCCCCC(N)C(=O)O,dmso,0.971428571428571,0.9999999998578455,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/nonaq/006_lysine
glutamicacid,NC(CCC(=O)O)C(=O)O,dmso,0.96,0.995128247264565,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/nonaq/007_glutamicacid
GABA,NCCCC(=O)O,dmso,0.95,0.99996861131941,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/nonaq/008_gaba
a-dimethylaminoaceticacid_H,CC(C(=O)O)N(C)C,dmso,0.69,0.8294725743481719,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/nonaq/009_a-dimethylaminoaceticacid-h
a-dimethylaminoaceticacid_CH3,CN(C)C(C(=O)O)C(C)(C)C,dmso,0.66,0.0214264042143438,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/nonaq/010_a-dimethylaminoaceticacid-ch3
a-dimethylaminoaceticacid_C2H5,CCC(CC)(CC)C(C(=O)O)N(C)C,dmso,0.5,0.0301765738009515,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/nonaq/011_a-dimethylaminoaceticacid-c2h5
a-dimethylaminoaceticacid_C3H7,CCCC(CCC)(CCC)C(C(=O)O)N(C)C,dmso,0.51,0.0809609672260417,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/nonaq/012_a-dimethylaminoaceticacid-c3h7
a-dimethylaminoaceticacid_iC4H9,CC(C)CC(CC(C)C)(CC(C)C)C(C(=O)O)N(C)C,dmso,0.38,0.0022734977194558,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/nonaq/013_a-dimethylaminoaceticacid-ic4h9
a-dimethylaminoaceticacid_iC3H7,CC(C)C(C(C)C)(C(C)C)C(C(=O)O)N(C)C,dmso,0.17,0.0142455729135694,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/nonaq/014_a-dimethylaminoaceticacid-ic3h7
a-dimethylaminoaceticacid_secS4H9,CCC(C)C(C(C)CC)(C(C)CC)C(C(=O)O)N(C)C,dmso,0.18,1.0,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/nonaq/015_a-dimethylaminoaceticacid-secs4h9
a-dimethylaminoaceticacid_cycloC6H11,CN(C)C(C(=O)O)C(C1CCCCC1)(C1CCCCC1)C1CCCCC1,dmso,0.17,0.0012718482148091,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/nonaq/016_a-dimethylaminoaceticacid-cycloc6h11
a-dimethylaminoaceticacid_tC4H9,CN(C)C(C(=O)O)C(C(C)(C)C)(C(C)(C)C)C(C)(C)C,dmso,0.04,2.5752268859500123e-67,,True,0,/home/jonzheng/PEACE_all/PEACE_experiments/ampholyte_zwitterion_ratios/results/amino_acids/nonaq/017_a-dimethylaminoaceticacid-tc4h9
