species_id,tautomer_id,protomer_id,protomer_smiles,is_zwitterion,conformer_qm_count,conformer_labels,conformer_gas_sp_energy_kcal_mol_list,conformer_gas_sp_energy_xtb_kcal_mol_list,conformer_solvation_free_energy_kcal_mol_list,conformer_rrho_contribution_kcal_mol_list,conformer_solution_phase_free_energy_kcal_mol_list,solvation_free_energy_kcal_mol,gas_sp_energy_kcal_mol,gas_sp_energy_xtb_kcal_mol,rrho_contribution_kcal_mol,solution_phase_free_energy_kcal_mol,delta_g_kcal_mol,boltzmann_fraction,workflow_status,connectivity_mismatch,resonance_charge_forms,geometry_reoptimization_retry,geometry_fallback,screening_solution_phase_free_energy_kcal_mol,screening_solvation_free_energy_kcal_mol,screening_gas_sp_energy_kcal_mol,screening_gas_sp_energy_xtb_kcal_mol,screening_rrho_contribution_kcal_mol,screening_delta_kcal_mol,screening_placeholder_solution_phase_free_energy_kcal_mol,screening_skipped_postopt,solvent,degeneracy,formal_charge
ODKSFYDXXFIFQN-BYPYZUCNSA-N,0,0,N=C(N)NCCC[C@H](N)C(=O)O,False,10,"[""conf 2/10"", ""conf 1/10"", ""conf 6/10"", ""conf 5/10"", ""conf 7/10"", ""conf 8/10"", ""conf 3/10"", ""conf 4/10"", ""conf 10/10"", ""conf 9/10""]","[-380637.6900434796, -380636.06802724896, -380636.7340828629, -380639.0475015402, -380635.88761064276, -380635.75019312993, -380636.7818751598, -380637.22254388937, -380633.56937297824, -380634.5017864437]","[-24976.090088706052, -24975.03803614485, -24976.66310327885, -24978.28803761553, -24975.260331280035, -24974.56217351692, -24975.235325182486, -24976.685324263446, -24972.057008762607, -24973.69074941099]","[-20.28298873014158, -20.429198437598284, -19.259520777944665, -17.538889800063647, -20.48253674289365, -20.25663333223093, -19.45655875280048, -17.808091364436716, -20.21145265009839, -19.97362655942847]","[110.29844083427, 109.62378367620929, 109.99414318584543, 110.93191407868089, 110.84292448777666, 110.53496480764069, 111.46088758867477, 110.9524358874767, 110.91213858510034, 111.87559769836096]","[-380547.67459137546, -380546.8734420104, -380545.99946045503, -380545.65447726165, -380545.52722289786, -380545.47186165454, -380544.77754632395, -380544.07819936634, -380542.8686870432, -380542.59981530474]",-21.398083355135455,-380639.15791901445,-24978.383098924271,109.05875257659051,-380547.87907967408,20.067132168216631,1.952944332933325e-15,conformer_refined,false,"{""[NH-]C(=[NH2+])NCCC[C@H](N)C(=O)O"": ""tautomer_0_id_8""}",,,,,,,,,,,water,,0
ODKSFYDXXFIFQN-BYPYZUCNSA-N,0,1,NC(=[NH2+])NCCC[C@H](N)C(=O)[O-],True,4,"[""conf 4/4"", ""conf 1/4"", ""conf 3/4"", ""conf 2/4""]","[-380610.5808251458, -380639.8787146746, -380636.7838329128, -380624.2815358708]","[-24952.169821512118, -24977.6874265478, -24976.533221027174, -24964.83568358293]","[-65.45551323952196, -38.83969889713558, -40.57539010239411, -50.54839817367896]","[108.17063089452714, 112.13332909926139, 111.90154645946477, 109.52797249883857]","[-380567.8657074908, -380566.5850844725, -380565.4576765557, -380565.30196154566]",-65.455513239528969,-380639.88189847517,-24977.766381659829,108.11187123614302,-380567.9462118423,0,0.99999958098010466,conformer_refined,false,,true,true,,,,,,,,,water,,0
ODKSFYDXXFIFQN-BYPYZUCNSA-N,0,2,N=C([NH3+])NCCC[C@H](N)C(=O)[O-],True,6,"[""conf 5/6"", ""conf 3/6"", ""conf 6/6"", ""conf 2/6"", ""conf 1/6"", ""conf 4/6""]","[-380623.88054166676, -380627.4224957945, -380595.0931544428, -380628.13202344126, -380628.20110243204, -380622.6134672758]","[-24956.84407659627, -24960.21660483078, -24933.390831793517, -24960.644947320863, -24960.79305105397, -24954.164395683503]","[-47.032462590503414, -34.39944185866508, -65.30491096574681, -32.70830382606502, -31.989805478262774, -33.71922158878068]","[111.97244875870422, 111.8842705463351, 111.73026720697857, 112.44246438388399, 112.92068400580423, 112.3701733766855]","[-380558.9405554985, -380549.9376671068, -380548.66779820155, -380548.3978628834, -380547.27022390446, -380543.9625154879]",-65.304910965746842,-380628.65721954178,-24961.24880342916,111.03929869459949,-380558.94055567787,9.0056561644305475,2.5050017919828791e-07,conformer_refined,false,,,,,,,,,,,,water,,0
ODKSFYDXXFIFQN-BYPYZUCNSA-N,0,3,N=C(N)[NH2+]CCC[C@H](N)C(=O)[O-],True,6,"[""conf 1/6"", ""conf 2/6"", ""conf 5/6"", ""conf 6/6"", ""conf 3/6"", ""conf 4/6""]","[-380630.5132774038, -380626.17799807934, -380620.5160145301, -380576.79764437716, -380621.46700412023, -380622.58256651997]","[-24960.90200063942, -24957.726653998485, -24951.042937369963, -24910.5863719125, -24957.367547225935, -24958.116048071774]","[-33.63827286662654, -32.615432423903684, -35.857773876387725, -78.82774013180664, -34.19989384591302, -28.883633581650432]","[111.81500953954068, 111.95806005996285, 111.25183386662663, 111.95546096215699, 112.24125777636817, 111.60549126909136]","[-380552.33654073084, -380546.83537044324, -380545.12195453985, -380543.66992354684, -380543.42564018973, -380539.8607088325]",-78.827740131806635,-380630.51367180509,-24960.911606807644,110.65595849752251,-380552.3365992069,15.609612635395024,3.6147174499967938e-12,conformer_refined,false,"{""[NH-]C(=[NH2+])[NH2+]CCC[C@H](N)C(=O)[O-]"": ""tautomer_0_id_29""}",,,,,,,,,,,water,,0
ODKSFYDXXFIFQN-BYPYZUCNSA-N,0,4,N=C(N)NCCC[C@H]([NH3+])C(=O)[O-],True,3,"[""conf 1/3"", ""conf 2/3"", ""conf 3/3""]","[-380627.04017894436, -380617.7290120023, -380617.45307162806]","[-24966.226886050896, -24954.064164665113, -24954.865423489213]","[-40.58292021608286, -46.94021869781613, -46.69674502187965]","[111.43309072243599, 110.52200036966265, 111.65950061544802]","[-380556.190008438, -380554.14723033045, -380552.49031603447]",-47.241588434205461,-380627.0401790886,-24966.226886054399,110.33917166880492,-380556.20967847406,11.736533368239179,2.4949460527227088e-09,conformer_refined,false,"{""[NH-]C(=[NH2+])NCCC[C@H]([NH3+])C(=O)[O-]"": ""tautomer_0_id_29""}",,,,,,,,,,,water,,0
ODKSFYDXXFIFQN-BYPYZUCNSA-N,0,5,[N-]=C([NH3+])NCCC[C@H](N)C(=O)O,True,1,,[-380538.0179506279],[-24865.807606510753],[-38.9752409435332],[107.26384498252422],[-380469.7293465889],-38.975240943533201,,-24865.807606510753,107.26384498252422,-380520.73972414195,47.206487700343132,2.4969176014901849e-35,post_xtb_screened_out,,,,,-380469.72934658889,-38.975240943533201,-380538.01795062789,-24865.807606510753,107.26384498252422,47.206487700343132,-380520.73972414195,true,water,1,0
ODKSFYDXXFIFQN-BYPYZUCNSA-N,0,6,[N-]=C(N)[NH2+]CCC[C@H](N)C(=O)O,True,1,,[-380529.1359174139],[-24862.643372184717],[-32.58091940283022],[109.20105006347019],[-380452.51578675327],-32.580919402830219,,-24862.643372184717,109.20105006347019,-380503.52616430633,64.420047535968479,6.0225067021745613e-48,post_xtb_screened_out,,,,,-380452.51578675327,-32.580919402830219,-380529.13591741392,-24862.643372184717,109.20105006347019,64.420047535968479,-380503.52616430633,true,water,1,0
ODKSFYDXXFIFQN-BYPYZUCNSA-N,0,7,[N-]=C(N)NCCC[C@H]([NH3+])C(=O)O,True,1,,[-380452.25838621304],[-24826.25009422629],[-62.763497595791264],[106.03490770326343],[-380408.98697610555],-62.763497595791264,,-24826.250094226289,106.03490770326343,-380459.9973536586,107.94885818369221,7.4634163809557321e-80,post_xtb_screened_out,,,,,-380408.98697610555,-62.763497595791264,-380452.25838621304,-24826.250094226289,106.03490770326343,107.94885818369221,-380459.9973536586,true,water,1,0
ODKSFYDXXFIFQN-BYPYZUCNSA-N,0,8,N=C([NH-])[NH2+]CCC[C@H](N)C(=O)O,True,1,,[-380530.2142795994],[-24875.145600140473],[-34.5010983934633],[110.9563724991362],[-380453.7590054937],-34.501098393463302,,-24875.145600140473,110.95637249913619,-380504.76938304678,63.176828795520123,4.9097904016832304e-47,post_xtb_screened_out,,,,,-380453.75900549372,-34.501098393463302,-380530.21427959937,-24875.145600140473,110.95637249913619,63.176828795520123,-380504.76938304678,true,water,1,0
ODKSFYDXXFIFQN-BYPYZUCNSA-N,0,9,N=C([NH-])NCCC[C@H]([NH3+])C(=O)O,True,1,,[-380466.96582024294],[-24837.103800818455],[-68.73738778887197],[107.62056776437718],[-380428.08264026744],-68.73738778887197,,-24837.103800818455,107.62056776437718,-380479.0930178205,88.853194021794479,7.4157765452744121e-66,post_xtb_screened_out,,,,,-380428.08264026744,-68.73738778887197,-380466.96582024294,-24837.103800818455,107.62056776437718,88.853194021794479,-380479.0930178205,true,water,1,0
