species_id,tautomer_id,protomer_id,protomer_smiles,is_zwitterion,conformer_qm_count,conformer_labels,conformer_gas_sp_energy_kcal_mol_list,conformer_gas_sp_energy_xtb_kcal_mol_list,conformer_solvation_free_energy_kcal_mol_list,conformer_rrho_contribution_kcal_mol_list,conformer_solution_phase_free_energy_kcal_mol_list,solvation_free_energy_kcal_mol,gas_sp_energy_kcal_mol,gas_sp_energy_xtb_kcal_mol,rrho_contribution_kcal_mol,solution_phase_free_energy_kcal_mol,delta_g_kcal_mol,boltzmann_fraction,workflow_status,connectivity_mismatch,alternate_tautomer_ids,resonance_charge_forms,screening_solution_phase_free_energy_kcal_mol,screening_solvation_free_energy_kcal_mol,screening_gas_sp_energy_kcal_mol,screening_gas_sp_energy_xtb_kcal_mol,screening_rrho_contribution_kcal_mol,screening_delta_kcal_mol,screening_placeholder_solution_phase_free_energy_kcal_mol,screening_skipped_postopt,solvent,degeneracy,geometry_reoptimization_retry,geometry_fallback,formal_charge
ZDXPYRJPNDTMRX-UHFFFAOYSA-N,0,0,NC(=O)CCC(N)C(=O)O,False,10,"[""conf 3/10"", ""conf 10/10"", ""conf 8/10"", ""conf 9/10"", ""conf 2/10"", ""conf 5/10"", ""conf 7/10"", ""conf 6/10"", ""conf 4/10"", ""conf 1/10""]","[-333719.02458468714, -333720.7773978963, -333718.57542903814, -333717.4619176368, -333719.64066251804, -333719.8493986964, -333720.99652061024, -333718.5103501724, -333720.0006519994, -333718.3142560735]","[-21243.641294300687, -21246.19341235853, -21243.80756199143, -21242.10667304142, -21244.745936763615, -21244.128396238266, -21245.717969921603, -21242.428923292253, -21244.354907305256, -21245.053506645534]","[-19.009772007267554, -17.49119908003485, -19.184219641057094, -18.587458131223087, -17.03750973028723, -18.032112246677244, -16.278223266670878, -17.75475305914135, -17.57654036850743, -17.29541612412716]","[76.48831345400453, 76.83203198616837, 76.34866563006085, 75.33623628926607, 76.07978910367267, 77.37051286835843, 76.83015795924454, 76.07314684121609, 77.44456270805657, 77.11526495166336]","[-333661.5460432404, -333661.43656499014, -333661.41098304914, -333660.7131394787, -333660.59838314465, -333660.5109980747, -333660.44458591763, -333660.19195639034, -333660.13262965984, -333658.49440724595]",-19.736956262661778,-333721.46470317815,-21246.538616542868,74.877666545954014,-333662.3056870547,7.6338313419837505,2.5372406777323833e-06,conformer_refined,false,1,"{""NC(CCC(=[NH2+])[O-])C(=O)O"": ""tautomer_1_id_4""}",,,,,,,,,water,,,,0
ZDXPYRJPNDTMRX-UHFFFAOYSA-N,0,1,NC(CCC([NH3+])=O)C(=O)[O-],True,4,"[""conf 4/4"", ""conf 3/4"", ""conf 1/4"", ""conf 2/4""]","[-333667.9677218548, -333686.130788418, -333694.4292249465, -333690.7474241973]","[-21189.64381386392, -21208.026345862872, -21216.265478893798, -21207.76089551374]","[-61.398664489704025, -41.0635924732152, -31.162747991447606, -30.872211104956392]","[76.32821389964057, 77.25950889470369, 77.58308678740657, 76.10487301866912]","[-333653.03817244485, -333649.9348719965, -333648.0088861505, -333645.5147622836]",-61.398664489704025,-333694.43040974275,-21216.265479780748,75.721197385522046,-333653.04143454047,16.898083856212907,4.1078771637083045e-13,conformer_refined,false,,,,,,,,,,,water,,,,0
ZDXPYRJPNDTMRX-UHFFFAOYSA-N,0,2,NC(=O)CCC([NH3+])C(=O)[O-],True,9,"[""conf 1/10"", ""conf 8/10"", ""conf 4/10"", ""conf 2/10"", ""conf 7/10"", ""conf 9/10"", ""conf 10/10"", ""conf 6/10"", ""conf 5/10""]","[-333713.90050835337, -333706.6407758691, -333708.7378010317, -333710.1868243191, -333706.8265783765, -333703.324829786, -333701.1867246874, -333704.0936296253, -333704.2482127262]","[-21235.27796947103, -21227.060466838506, -21229.006455022096, -21233.775089017716, -21229.141767505447, -21224.979366106752, -21224.801229519213, -21227.062232232875, -21227.025116487617]","[-33.96834284998373, -39.93344791042756, -37.91600495131469, -36.3955494956598, -38.335181279988845, -41.647803793567945, -42.77104575214089, -38.616933033843175, -38.18081394936932]","[78.61580753685362, 77.32824949596858, 77.52300180270565, 78.22019115680474, 77.43925775990559, 77.50907187551327, 76.69976018531452, 77.26178661980751, 77.20267140958313]","[-333669.2530436665, -333669.24597428355, -333669.1308041803, -333668.362182658, -333667.7225018966, -333667.46356170403, -333667.25801025424, -333665.44877603935, -333665.226355266]",-42.859342661415589,-333713.90173462156,-21235.323127131669,76.035374172438424,-333669.93951839668,0,0.99999739763141982,conformer_refined,false,1,"{""[NH2+]=C([O-])CCC([NH3+])C(=O)[O-]"": ""tautomer_1_id_5""}",,,,,,,,,water,,,,0
ZDXPYRJPNDTMRX-UHFFFAOYSA-N,0,3,[NH-]C(=O)CCC([NH3+])C(=O)O,True,1,,[-333597.5410839364],[-21128.941732936313],[-68.88171496790649],[74.50637200465671],[-333591.91642689967],-68.88171496790649,,-21128.941732936313,74.506372004656711,-333624.747061431,45.192456965683959,7.4764948033525414e-34,post_xtb_screened_out,,1,"{""N=C([O-])CCC([NH3+])C(=O)O"": ""tautomer_1_id_4""}",-333591.91642689967,-68.88171496790649,-333597.5410839364,-21128.941732936313,74.506372004656711,45.192456965683959,-333624.747061431,true,water,2,,,0
ZDXPYRJPNDTMRX-UHFFFAOYSA-N,0,4,[NH-]C(CCC([NH3+])=O)C(=O)O,True,1,,[-333558.62723111146],[-21103.86151864373],[-52.20690571362773],[73.79236513184372],[-333537.0417716933],-52.206905713627727,,-21103.861518643731,73.792365131843724,-333569.8724062246,100.06711217208067,4.4698880003529598e-74,post_xtb_screened_out,,,,-333537.04177169327,-52.206905713627727,-333558.62723111146,-21103.861518643731,73.792365131843724,100.06711217208067,-333569.8724062246,true,water,1,,,0
ZDXPYRJPNDTMRX-UHFFFAOYSA-N,1,0,N=C(O)CCC(N)C(=O)O,False,10,"[""conf 6/10"", ""conf 3/10"", ""conf 8/10"", ""conf 2/10"", ""conf 9/10"", ""conf 10/10"", ""conf 4/10"", ""conf 7/10"", ""conf 5/10"", ""conf 1/10""]","[-333709.50881282985, -333709.3901996619, -333708.0479397565, -333708.98002469057, -333708.81285382545, -333707.9675297111, -333707.1906811554, -333707.43684658787, -333706.4934423486, -333705.93697597436]","[-21235.003760710497, -21234.22566104535, -21233.729980894506, -21234.181594509428, -21235.31260848973, -21233.81150409468, -21232.075793833214, -21232.814615735726, -21231.59874105198, -21232.99985506849]","[-16.00525664545343, -16.033494571786267, -15.65510635892622, -15.34950924505749, -15.233419992355815, -16.00086407913499, -15.901717582233017, -15.926817961195542, -15.626240923119317, -13.95079062737084]","[76.66122225697849, 77.12143532887798, 76.59109541135675, 77.32002192244217, 77.2231737222871, 77.38889472677553, 76.91050771921313, 77.27076383748697, 77.2549474009523, 77.91928730426433]","[-333648.85284721834, -333648.30225890485, -333647.1119507041, -333647.0095120132, -333646.82310009556, -333646.5794990635, -333646.18189101847, -333646.0929007116, -333644.8647358708, -333641.9684792975]",-17.111707222537898,-333710.10926914273,-21235.749734020468,75.696459860551983,-333649.11939482024,20.820123576442711,5.4795183242301164e-16,conformer_refined,false,,,,,,,,,,,water,,,,0
ZDXPYRJPNDTMRX-UHFFFAOYSA-N,1,1,NC(CCC(=[NH2+])O)C(=O)[O-],True,6,"[""conf 5/6"", ""conf 4/6"", ""conf 3/6"", ""conf 1/6"", ""conf 2/6"", ""conf 6/6""]","[-333694.40669778746, -333692.172229551, -333692.1679440685, -333693.3908287579, -333691.6635708959, -333659.9096945478]","[-21218.020598767525, -21215.046056792326, -21215.040168876578, -21217.93445072463, -21216.975258951275, -21189.48036443745]","[-40.23967253377035, -44.78848871125376, -43.27179831244325, -39.60588796496663, -42.01677936431705, -66.25872536632274]","[74.86204917249312, 77.35536672614879, 77.46531245276623, 75.91432355578108, 77.43130075089412, 76.26437762879068]","[-333659.7843211487, -333659.60535153607, -333657.9744299282, -333657.0823931671, -333656.24904950935, -333649.90404228534]",-66.258725366322736,-333694.53207526257,-21218.445652024788,74.705058129570759,-333660.13239312841,9.8071252682711929,6.4762881372675135e-08,conformer_refined,false,,,,,,,,,,,water,,true,true,0
ZDXPYRJPNDTMRX-UHFFFAOYSA-N,1,2,N=C(O)CCC([NH3+])C(=O)[O-],True,9,"[""conf 6/10"", ""conf 1/10"", ""conf 2/10"", ""conf 5/10"", ""conf 7/10"", ""conf 4/10"", ""conf 3/10"", ""conf 10/10"", ""conf 9/10""]","[-333691.63245725114, -333693.7357692079, -333693.6419482791, -333691.9971189102, -333690.9127416768, -333692.66482723603, -333693.1137915022, -333689.5698714877, -333689.1542513549]","[-21213.955592794893, -21217.801854714107, -21215.02753356669, -21215.284546680712, -21213.819952807444, -21215.953955355806, -21217.101580969593, -21214.10639655945, -21213.25715352099]","[-41.862412033697524, -39.27268043423911, -39.7031519334464, -40.083422674728645, -41.39366245657239, -38.91374501507502, -38.396049698972966, -41.5260669555997, -40.976996165794496]","[77.29284055577362, 77.58753224461606, 78.01702785928705, 77.4701581047703, 77.9665365833008, 77.52562805598401, 78.01460661837395, 77.90747399853095, 77.50869797336564]","[-333656.2020287291, -333655.4209173975, -333655.32807235327, -333654.61038348015, -333654.33986755006, -333654.05294419517, -333653.4952345828, -333653.1884644447, -333652.62254954735]",-42.366808174337791,-333694.26894498797,-21217.992501636378,76.341089680585313,-333656.49985617283,13.439662223856431,1.4081797568555409e-10,conformer_refined,false,,,,,,,,,,,water,,,,0
ZDXPYRJPNDTMRX-UHFFFAOYSA-N,1,3,[N-]=C(O)CCC([NH3+])C(=O)O,True,1,,[-333560.35641776933],[-21101.979005939396],[-54.858760751018394],[74.46068747508714],[-333540.75449104526],-54.858760751018394,,-21101.979005939396,74.460687475087141,-333573.58512557659,96.354392820096109,2.3536333634709529e-71,post_xtb_screened_out,,,,-333540.75449104526,-54.858760751018394,-333560.35641776933,-21101.979005939396,74.460687475087141,96.354392820096109,-333573.58512557659,true,water,1,,,0
ZDXPYRJPNDTMRX-UHFFFAOYSA-N,1,4,[NH-]C(CCC(=[NH2+])O)C(=O)O,True,1,,[-333589.4413365949],[-21144.11842529787],[-34.49419578924861],[73.59746588372315],[-333550.33806650044],-34.494195789248607,,-21144.118425297871,73.597465883723146,-333583.16870103177,86.770817364915274,2.4920018971705373e-64,post_xtb_screened_out,,,,-333550.33806650044,-34.494195789248607,-333589.44133659487,-21144.118425297871,73.597465883723146,86.770817364915274,-333583.16870103177,true,water,1,,,0
