species_id,tautomer_id,protomer_id,protomer_smiles,is_zwitterion,conformer_qm_count,conformer_labels,conformer_gas_sp_energy_kcal_mol_list,conformer_gas_sp_energy_xtb_kcal_mol_list,conformer_solvation_free_energy_kcal_mol_list,conformer_rrho_contribution_kcal_mol_list,conformer_solution_phase_free_energy_kcal_mol_list,solvation_free_energy_kcal_mol,gas_sp_energy_kcal_mol,gas_sp_energy_xtb_kcal_mol,rrho_contribution_kcal_mol,solution_phase_free_energy_kcal_mol,delta_g_kcal_mol,boltzmann_fraction,workflow_status,connectivity_mismatch,screening_solution_phase_free_energy_kcal_mol,screening_solvation_free_energy_kcal_mol,screening_gas_sp_energy_kcal_mol,screening_gas_sp_energy_xtb_kcal_mol,screening_rrho_contribution_kcal_mol,screening_delta_kcal_mol,screening_placeholder_solution_phase_free_energy_kcal_mol,screening_skipped_postopt,solvent,degeneracy,formal_charge
HNDVDQJCIGZPNO-YFKPBYRVSA-N,0,0,N[C@@H](Cc1c[nH]cn1)C(=O)O,False,10,"[""conf 4/10"", ""conf 9/10"", ""conf 2/10"", ""conf 8/10"", ""conf 7/10"", ""conf 3/10"", ""conf 10/10"", ""conf 5/10"", ""conf 1/10"", ""conf 6/10""]","[-344391.57131817256, -344390.39473315596, -344389.19206952455, -344387.628913522, -344388.7599029466, -344388.6316617257, -344388.6159181009, -344388.1872554762, -344387.6614332793, -344386.51555165235]","[-21550.786190383176, -21550.09554621833, -21549.518986899733, -21547.919898806053, -21548.581713050877, -21549.19371101785, -21547.260248196955, -21547.144054917615, -21546.81242950896, -21546.06099812799]","[-16.34724930881782, -16.684849405863766, -17.502494250567985, -18.087333080394796, -17.78487351389638, -17.87397985921334, -16.95907104602934, -17.168031700892353, -17.569010254818675, -18.075410400387597]","[74.02417153856166, 74.10181076006185, 74.21836030790551, 73.80440971058633, 74.69033699243563, 74.6771560216459, 74.53086894603611, 74.66788516090806, 74.85041417922437, 74.41883110596967]","[-344333.89439594286, -344332.97777180176, -344332.4762034672, -344331.91183689184, -344331.85443946806, -344331.8284855633, -344331.0441202009, -344330.6874020162, -344330.3800293549, -344330.17213094677]",-18.98828148909573,-344391.67136947147,-21551.040470101663,72.940477399329041,-344334.10176751489,9.9804861883167177,4.1550367914869969e-08,conformer_refined,false,,,,,,,,,water,,0
HNDVDQJCIGZPNO-YFKPBYRVSA-N,0,1,[NH3+][C@@H](Cc1c[nH]cn1)C(=O)[O-],True,2,"[""conf 2/2"", ""conf 1/2""]","[-344380.78532828763, -344382.60429234704]","[-21537.51527214824, -21539.891320152823]","[-37.84321385232337, -36.463320518858616]","[74.85039303027257, 75.5260820962879]","[-344343.7781491097, -344343.5415307696]",-37.898278258038225,-344382.63117533142,-21539.901964402776,74.686043720767969,-344344.08225370321,0,0.8596506916611526,conformer_refined,false,,,,,,,,,water,,0
HNDVDQJCIGZPNO-YFKPBYRVSA-N,0,2,N[C@@H](CC1=C[NH2+]C=N1)C(=O)[O-],True,1,,[-344264.98966565996],[-21426.62783005379],[-61.43192249182936],[73.33452786540634],[-344253.0870602864],-61.431922491829361,,-21426.627830053789,73.334527865406343,-344287.15859905188,56.923654651327524,1.6180562184594707e-42,post_xtb_screened_out,,-344253.08706028637,-61.431922491829361,-344264.98966565996,-21426.627830053789,73.334527865406343,56.923654651327524,-344287.15859905188,true,water,1,0
HNDVDQJCIGZPNO-YFKPBYRVSA-N,0,3,N[C@@H](Cc1c[nH]c[nH+]1)C(=O)[O-],True,3,"[""conf 1/3"", ""conf 3/3"", ""conf 2/3""]","[-344375.6254772128, -344374.7425695491, -344373.6799718249]","[-21535.68610988963, -21533.659001841348, -21531.52512140821]","[-41.849861844216264, -41.84735180632001, -42.468586185642486]","[74.89945594032854, 74.22343309135628, 74.50129292477587]","[-344342.57588311663, -344342.36648826406, -344341.6472650858]",-42.783810420959149,-344375.76373402309,-21535.705666724851,73.829231286109803,-344342.95955665887,1.1226970443385653,0.12923476953267929,conformer_refined,false,,,,,,,,,water,,0
HNDVDQJCIGZPNO-YFKPBYRVSA-N,0,4,[NH-][C@@H](CC1=C[NH2+]C=N1)C(=O)O,True,1,,[-344241.8614633068],[-21418.94593918707],[-36.895674546488095],[71.49249151512151],[-344207.2646463382],-36.895674546488095,,-21418.94593918707,71.492491515121515,-344241.33618510369,102.74606859951746,4.1776408418588607e-76,post_xtb_screened_out,,-344207.26464633818,-36.895674546488095,-344241.86146330682,-21418.94593918707,71.492491515121515,102.74606859951746,-344241.33618510369,true,water,1,0
HNDVDQJCIGZPNO-YFKPBYRVSA-N,0,5,[NH-][C@@H](Cc1c[nH]c[nH+]1)C(=O)O,True,1,,[-344282.0112996196],[-21461.428126210718],[-32.083304389898174],[71.57506160503986],[-344242.5195424045],-32.083304389898174,,-21461.428126210718,71.575061605039863,-344276.59108117002,67.491172533191275,2.9036832958224056e-50,post_xtb_screened_out,,-344242.51954240451,-32.083304389898174,-344282.01129961963,-21461.428126210718,71.575061605039863,67.491172533191275,-344276.59108117002,true,water,1,0
HNDVDQJCIGZPNO-YFKPBYRVSA-N,0,6,[NH3+][C@@H](Cc1c[n-]cn1)C(=O)O,True,1,"[""conf 1/1""]",[-344363.51513465773],[-21515.00155728669],[-40.31622868960605],[74.59992460600272],[-344329.2314387414],-40.316228689606049,-344363.51513465773,-21515.001557286691,74.599924606002716,-344329.23143874138,14.850814961828291,1.1184050233030693e-11,conformer_refined,false,,,,,,,,,water,,0
HNDVDQJCIGZPNO-YFKPBYRVSA-N,0,7,N[C@@H](Cc1c[n-]c[nH+]1)C(=O)O,True,7,"[""conf 5/8"", ""conf 6/8"", ""conf 7/8"", ""conf 8/8"", ""conf 4/8"", ""conf 1/8"", ""conf 3/8""]","[-344391.73780874093, -344389.90751262975, -344388.1425709075, -344387.2773703144, -344388.7477427272, -344389.6269233918, -344389.02461530815]","[-21551.91570140926, -21549.931362927062, -21548.989035037204, -21548.46323968386, -21549.39518926606, -21550.385782608733, -21548.944144115107]","[-16.099383066562893, -17.294161105179036, -18.074155381439468, -18.874857470343986, -17.45919609685763, -16.563740077369587, -16.15397639080638]","[74.53293126094269, 74.28690897096504, 73.87208733464752, 73.99631298312153, 74.68668280020007, 74.77772393104568, 74.68940520236258]","[-344333.3042605466, -344332.91476476396, -344332.34463895427, -344332.15591480164, -344331.5202560239, -344331.41293953813, -344330.4891864966]",-19.098892456037493,-344391.79073734279,-21551.994197927059,73.154631464147954,-344333.70269616024,10.379557542968541,2.1186223075551786e-08,conformer_refined,false,,,,,,,,,water,,0
HNDVDQJCIGZPNO-YFKPBYRVSA-N,0,8,[NH3+][C@@H](Cc1c[n-]c[nH+]1)C(=O)[O-],True,4,"[""conf 1/4"", ""conf 2/4"", ""conf 3/4"", ""conf 4/4""]","[-344379.2164338584, -344375.92142213596, -344372.73558007524, -344371.4580261757]","[-21534.77241013472, -21533.634512661632, -21530.297389250227, -21529.08795666597]","[-37.31673340358443, -38.85664165293528, -41.205409614353464, -41.60450563985759]","[75.05563406813475, 75.24756116971471, 75.22187141314633, 75.19624936861527]","[-344341.4775331938, -344339.53050261916, -344338.71911827644, -344337.86628244695]",-41.852690132633107,-344379.21871847298,-21534.853730761872,74.354139704441849,-344341.50596459326,2.5762891099439003,0.011114476058393111,conformer_refined,false,,,,,,,,,water,,0
HNDVDQJCIGZPNO-YFKPBYRVSA-N,0,9,[NH-][C@@H](CC1=C[NH2+]C=[NH+]1)C(=O)[O-],True,1,,[-344152.2764905018],[-21352.568256210317],[-75.45173916134715],[69.25437146906984],[-344158.4738581941],-75.451739161347149,,-21352.568256210317,69.254371469069838,-344192.54539695958,151.5368567436235,7.195073074011209e-112,post_xtb_screened_out,,-344158.47385819408,-75.451739161347149,-344152.27649050183,-21352.568256210317,69.254371469069838,151.5368567436235,-344192.54539695958,true,water,4,0
