species_id,tautomer_id,protomer_id,protomer_smiles,is_zwitterion,conformer_qm_count,conformer_labels,conformer_gas_sp_energy_kcal_mol_list,conformer_gas_sp_energy_xtb_kcal_mol_list,conformer_solvation_free_energy_kcal_mol_list,conformer_rrho_contribution_kcal_mol_list,conformer_solution_phase_free_energy_kcal_mol_list,solvation_free_energy_kcal_mol,gas_sp_energy_kcal_mol,gas_sp_energy_xtb_kcal_mol,rrho_contribution_kcal_mol,solution_phase_free_energy_kcal_mol,delta_g_kcal_mol,boltzmann_fraction,workflow_status,connectivity_mismatch,screening_solution_phase_free_energy_kcal_mol,screening_solvation_free_energy_kcal_mol,screening_gas_sp_energy_kcal_mol,screening_gas_sp_energy_xtb_kcal_mol,screening_rrho_contribution_kcal_mol,screening_delta_kcal_mol,screening_placeholder_solution_phase_free_energy_kcal_mol,screening_skipped_postopt,solvent,degeneracy,formal_charge
WHUUTDBJXJRKMK-UHFFFAOYSA-N,0,0,NC(CCC(=O)O)C(=O)O,False,10,"[""conf 6/10"", ""conf 5/10"", ""conf 1/10"", ""conf 8/10"", ""conf 7/10"", ""conf 9/10"", ""conf 10/10"", ""conf 4/10"", ""conf 2/10"", ""conf 3/10""]","[-346196.72326665994, -346196.5679721966, -346195.6927554203, -346196.53812685644, -346195.0601432745, -346194.19148467504, -346195.3107548663, -346195.51769578527, -346196.2756679912, -346195.6823756606]","[-21646.708625507435, -21645.534400380126, -21645.542562676346, -21646.253056585465, -21645.608975029212, -21643.8241632508, -21644.63324804863, -21644.59476818751, -21646.093932859785, -21644.272492561457]","[-20.566623012418102, -20.360172395451343, -20.310599147000357, -19.919660744659048, -20.66074943352757, -20.240945595379355, -19.952291237310327, -20.11669871951486, -19.778471112994847, -19.270815948477804]","[69.59257781933393, 69.48648528891407, 68.63251934683076, 69.69978495592697, 69.09889463518417, 68.113402161404, 69.35923651063722, 69.73821026200015, 70.31206036554549, 69.31772143890262]","[-346147.69731185306, -346147.4416593032, -346147.37083522044, -346146.75800264516, -346146.62199807283, -346146.319028109, -346145.90380959294, -346145.8961842428, -346145.74207873864, -346145.6354701702]",-21.591444608357129,-346197.48487683292,-21647.210829014977,67.646929893787004,-346148.31892485358,2.7824885559384711,0.0048717527354347418,conformer_refined,false,,,,,,,,,dmso,,0
WHUUTDBJXJRKMK-UHFFFAOYSA-N,0,1,[NH3+]C(CCC(=O)[O-])C(=O)O,True,4,"[""conf 2/4"", ""conf 1/4"", ""conf 3/4"", ""conf 4/4""]","[-346173.31943515287, -346177.2053146166, -346174.29193359154, -346176.5744197101]","[-21621.896380709553, -21625.467656389636, -21623.052025546775, -21622.210865331715]","[-47.17114218427135, -43.249207971376975, -45.84019458978352, -41.290123393351976]","[69.9625471109486, 70.00596027836042, 69.79601653891741, 69.33550558074047]","[-346150.5280302262, -346150.4485623096, -346150.3361116424, -346148.5290375227]",-47.231458355570339,-346177.38466676103,-21625.481399729892,68.887731424643462,-346151.10141340952,0,0.53365858792807597,conformer_refined,false,,,,,,,,,dmso,,0
WHUUTDBJXJRKMK-UHFFFAOYSA-N,0,2,[NH3+]C(CCC(=O)O)C(=O)[O-],True,9,"[""conf 8/10"", ""conf 1/10"", ""conf 10/10"", ""conf 2/10"", ""conf 7/10"", ""conf 9/10"", ""conf 5/10"", ""conf 6/10"", ""conf 3/10""]","[-346176.9217065912, -346186.7956854013, -346176.69747472776, -346183.9758818997, -346175.187108889, -346176.8531714284, -346180.2512690463, -346177.8223729813, -346181.65392946446]","[-21625.15945873469, -21633.873079077905, -21625.168530483537, -21632.950315018923, -21624.460984254998, -21625.792100542225, -21628.123619036905, -21627.051351918763, -21629.89858347418]","[-43.6093984094892, -34.496705827144865, -43.418635529374015, -35.85275380059522, -43.96143122443859, -41.64592126514576, -38.17642138305088, -40.85902438467063, -36.39303945776355]","[70.01793302734856, 71.08672275090817, 70.01517402193092, 70.78250150615465, 70.39354046836985, 70.05291233188692, 70.02378195091241, 70.32452971172619, 69.87434821774976]","[-346150.51317197335, -346150.2056684775, -346150.10093623516, -346149.0461341941, -346148.75499964505, -346148.4461803616, -346148.4039084784, -346148.35686765425, -346148.1726207045]",-44.365421200901494,-346186.80085200985,-21633.986981263621,68.884099705000679,-346151.01530166005,0.086111749464180321,0.46146965933553408,conformer_refined,false,,,,,,,,,dmso,,0
WHUUTDBJXJRKMK-UHFFFAOYSA-N,1,0,N=C(CCC(=O)O)C(O)O,False,9,"[""conf 3/10"", ""conf 2/10"", ""conf 1/10"", ""conf 6/10"", ""conf 4/10"", ""conf 5/10"", ""conf 8/10"", ""conf 10/10"", ""conf 7/10""]","[-346180.6407910756, -346178.3656004292, -346179.49863652117, -346177.68449145596, -346177.104623406, -346176.39317302185, -346176.1442097029, -346175.07166154083, -346174.5270511793]","[-21630.800303142005, -21628.24396435065, -21628.85413570343, -21627.624292593537, -21627.277489335866, -21626.671620531914, -21626.816103306945, -21626.063212650184, -21625.708520097425]","[-16.902595193363663, -18.02960220878099, -17.040647277657545, -18.376614947937885, -18.925058228269034, -18.65083658810346, -18.941373474594673, -18.840344449270514, -18.081685495128227]","[68.31157977880599, 68.25506226704134, 68.44352100892392, 68.40280437020398, 68.90588085474016, 68.58108261800767, 68.9682478962428, 68.62243056137898, 68.53695928620138]","[-346129.23180649016, -346128.1401403709, -346128.0957627899, -346127.65830203367, -346127.1238007795, -346126.462926992, -346126.1173352813, -346125.2895754287, -346124.0717773883]",-19.810437798654224,-346180.73771347833,-21630.835274366822,67.215047448284949,-346129.4396297565,21.661783653020393,7.0642473791887342e-17,conformer_refined,false,,,,,,,,,dmso,,0
WHUUTDBJXJRKMK-UHFFFAOYSA-N,1,1,[NH2+]=C(CCC(=O)[O-])C(O)O,True,1,,[-346087.18101141107],[-21543.46263839939],[-59.702506381311466],[67.44740153983615],[-346079.43611625256],-59.702506381311466,,-21543.462638399389,67.44740153983615,-346113.27910345019,37.822309959330596,1.0076690362279312e-28,post_xtb_screened_out,,-346079.43611625256,-59.702506381311466,-346087.18101141107,-21543.462638399389,67.44740153983615,37.822309959330596,-346113.27910345019,true,dmso,1,0
WHUUTDBJXJRKMK-UHFFFAOYSA-N,1,2,[NH2+]=C(CCC(=O)O)C([O-])O,True,4,"[""conf 4/4"", ""conf 3/4"", ""conf 1/4"", ""conf 2/4""]","[-346152.1712560511, -346154.2395088891, -346158.8778287704, -346157.337958361]","[-21596.918415743647, -21597.715188972514, -21600.882920620945, -21600.236748541356]","[-31.001478056613394, -28.891791204813252, -25.2177232341738, -25.45303928694746]","[65.02057221937189, 65.38028600505265, 66.47327003660504, 66.02310273563789]","[-346118.1521618883, -346117.75101408886, -346117.6222819679, -346116.76789491234]",-31.018162868186892,-346158.92054425768,-21601.05721395912,64.667340921364172,-346118.56687573693,32.534537672589067,7.5732430843173318e-25,conformer_refined,false,,,,,,,,,dmso,,0
WHUUTDBJXJRKMK-UHFFFAOYSA-N,2,0,NC(=CCC(=O)O)C(O)O,False,9,"[""conf 4/10"", ""conf 2/10"", ""conf 1/10"", ""conf 6/10"", ""conf 8/10"", ""conf 9/10"", ""conf 3/10"", ""conf 5/10"", ""conf 10/10""]","[-346176.1122519456, -346177.12592470896, -346174.0180900007, -346174.8977736348, -346173.4782562621, -346174.39048822713, -346172.40957282356, -346173.0363810595, -346169.3923654758]","[-21627.741282673112, -21628.834649765937, -21625.62253159254, -21627.983100248635, -21626.237914820642, -21627.540842209484, -21625.424255442973, -21627.842792793635, -21624.02227732898]","[-19.11456608943609, -17.95241854347123, -19.727015336121674, -18.089215608816982, -19.485424188607382, -18.09988326987606, -19.194259792642104, -17.80934638338484, -19.72576031717355]","[67.29911364964079, 67.66800271758139, 67.65766888403239, 67.15667681528646, 67.23182496410925, 68.07976001178383, 67.92016796762971, 68.44818934118335, 68.12090979080078]","[-346127.92770438537, -346127.4103405348, -346126.0874364528, -346125.83031242836, -346125.7318554866, -346124.4106114852, -346123.68366464856, -346122.3975381017, -346120.9972160022]",-20.49284160491689,-346177.24500461144,-21629.154597272951,66.290531725841959,-346128.1755836943,22.925829715211876,8.3659199719707572e-18,conformer_refined,false,,,,,,,,,dmso,,0
WHUUTDBJXJRKMK-UHFFFAOYSA-N,2,1,[NH3+]C(=CCC(=O)[O-])C(O)O,True,1,,[-346015.6062722712],[-21472.460362697675],[-69.84807955796367],[65.29190916146213],[-346020.16244266764],-69.848079557963672,,-21472.460362697675,65.291909161462129,-346054.00542986527,97.095983544248156,3.5926397569855704e-72,post_xtb_screened_out,,-346020.16244266764,-69.848079557963672,-346015.60627227119,-21472.460362697675,65.291909161462129,97.095983544248156,-346054.00542986527,true,dmso,1,0
WHUUTDBJXJRKMK-UHFFFAOYSA-N,2,2,[NH3+]C(=CCC(=O)O)C([O-])O,True,3,"[""conf 3/3"", ""conf 2/3"", ""conf 1/3""]","[-346141.46466293564, -346141.169707947, -346144.2685710004]","[-21587.205874658142, -21585.900065003454, -21590.19787105158]","[-36.023436377540385, -35.69462141313132, -31.494072993752926]","[66.26555484811342, 66.63590706797201, 66.22805248422972]","[-346111.22254446504, -346110.22842229216, -346109.5345915099]",-36.292411971196053,-346144.27689990454,-21590.20207303093,65.699301106654502,-346111.35222389043,39.749189519090578,3.8985705254588204e-30,conformer_refined,false,,,,,,,,,dmso,,0
WHUUTDBJXJRKMK-UHFFFAOYSA-N,3,0,NC(CC=C(O)O)C(=O)O,False,10,"[""conf 1/10"", ""conf 10/10"", ""conf 4/10"", ""conf 3/10"", ""conf 5/10"", ""conf 2/10"", ""conf 6/10"", ""conf 7/10"", ""conf 8/10"", ""conf 9/10""]","[-346176.58514242823, -346171.98450685287, -346172.69763568055, -346172.20113469707, -346172.4356349782, -346175.7695949072, -346172.834197972, -346172.04465113406, -346171.1537684049, -346169.3040752668]","[-21629.10552010391, -21625.43745425072, -21626.76324691261, -21625.99470861246, -21627.08861308997, -21628.099625318588, -21626.285792310708, -21624.826482771277, -21624.45063471112, -21623.51947171644]","[-18.314491510005638, -20.702165058815734, -19.9102481025481, -20.286126277511897, -20.382135227043552, -17.210702345128645, -19.5293498517918, -19.90020795096309, -20.249103218542174, -20.372095075458542]","[69.20153008476193, 68.27534407605367, 68.4341799342685, 68.32502672074132, 69.00836076605462, 69.41371800202477, 68.86359290343172, 69.02477088302761, 68.88703490600378, 69.23075447983337]","[-346125.69810385344, -346124.41132783564, -346124.17370384885, -346124.16223425383, -346123.80940943916, -346123.56657925027, -346123.4999549204, -346122.920088202, -346122.51583671744, -346120.4454158624]",-21.492547580604771,-346176.72121706011,-21629.238952771862,67.37911556324481,-346125.88559830154,25.215815107978415,1.753649374137653e-19,conformer_refined,false,,,,,,,,,dmso,,0
WHUUTDBJXJRKMK-UHFFFAOYSA-N,3,1,[NH3+]C(CC=C(O)O)C(=O)[O-],True,1,,[-346085.6727642451],[-21538.383502599296],[-56.84545574590217],[66.95374862046832],[-346075.5644713705],-56.845455745902171,,-21538.383502599296,66.953748620468318,-346109.40745856811,41.693954841408413,1.4634656101861742e-31,post_xtb_screened_out,,-346075.56447137048,-56.845455745902171,-346085.67276424507,-21538.383502599296,66.953748620468318,41.693954841408413,-346109.40745856811,true,dmso,1,0
WHUUTDBJXJRKMK-UHFFFAOYSA-N,3,2,[NH3+]C(CC=C([O-])O)C(=O)O,True,1,,[-346076.34868108353],[-21530.189365830483],[-59.790985217154365],[66.71021216973907],[-346069.42945413094],-59.790985217154365,,-21530.189365830483,66.710212169739066,-346103.27244132856,47.828972080955282,4.6599759807933633e-36,post_xtb_screened_out,,-346069.42945413094,-59.790985217154365,-346076.34868108353,-21530.189365830483,66.710212169739066,47.828972080955282,-346103.27244132856,true,dmso,2,0
WHUUTDBJXJRKMK-UHFFFAOYSA-N,4,0,NC(CCC(=O)O)=C(O)O,False,1,,[-346096.15835232526],[-21563.58266325546],[-22.230778137633443],[64.50349577946855],[-346053.8856346834],-22.230778137633443,,-21563.58266325546,64.503495779468551,-346087.72862188105,63.372791528468952,1.882283161721258e-47,post_xtb_screened_out,,-346053.88563468342,-22.230778137633443,-346096.15835232526,-21563.58266325546,64.503495779468551,63.372791528468952,-346087.72862188105,true,dmso,1,0
WHUUTDBJXJRKMK-UHFFFAOYSA-N,4,1,[NH3+]C(CCC(=O)[O-])=C(O)O,True,1,,[-346040.3303252617],[-21497.234459640917],[-77.4472192888678],[65.85941719367062],[-346051.91812735685],-77.447219288867799,,-21497.234459640917,65.859417193670623,-346085.76111455448,65.340298855036963,6.7997364270107464e-49,post_xtb_screened_out,,-346051.91812735685,-77.447219288867799,-346040.33032526169,-21497.234459640917,65.859417193670623,65.340298855036963,-346085.76111455448,true,dmso,1,0
WHUUTDBJXJRKMK-UHFFFAOYSA-N,4,2,[NH3+]C(CCC(=O)O)=C([O-])O,True,3,"[""conf 3/3"", ""conf 2/3"", ""conf 1/3""]","[-346168.4113200638, -346168.30374116614, -346170.79417013424]","[-21610.475200634595, -21610.28591047341, -21612.917254537835]","[-35.08593722329011, -34.61969768406123, -31.74131172653379]","[68.84859075958614, 68.57083114884222, 68.36248541749575]","[-346134.64866652753, -346134.3526077014, -346134.17299644323]",-35.309659278124222,-346170.81332964986,-21612.933615231625,67.910679069558796,-346135.0753538995,16.026059510011692,9.5516931660437252e-13,conformer_refined,false,,,,,,,,,dmso,,0
