reaction_index,reaction_smiles,tabulated_constant,temperature_celsius,solvent,temperature,solvent_part,reactant_smiles,product_smiles,n_reactants,n_products
0,[C:1]([CH2:2][c:4]1[n:5][cH:6][cH:7][n:8][cH:9]1)(=[O:3])[c:10]1[cH:11][cH:12][cH:13][n:14][cH:15]1>>[C:1](=[CH:2]\[c:4]1[n:5][cH:6][cH:7][n:8][cH:9]1)(\[OH:3])[c:10]1[cH:11][cH:12][cH:13][n:14][cH:15]1,-0.02,25,water,298,1.0,[C:1]([CH2:2][c:4]1[n:5][cH:6][cH:7][n:8][cH:9]1)(=[O:3])[c:10]1[cH:11][cH:12][cH:13][n:14][cH:15]1,[C:1](=[CH:2]\[c:4]1[n:5][cH:6][cH:7][n:8][cH:9]1)(\[OH:3])[c:10]1[cH:11][cH:12][cH:13][n:14][cH:15]1,1,1
1,[C:1]([CH2:2][c:4]1[n:5][cH:6][cH:7][n:8][cH:9]1)(=[O:3])[c:10]1[cH:11][cH:12][n:13][cH:14][cH:15]1>>[C:1](=[CH:2]/[c:4]1[n:5][cH:6][cH:7][n:8][cH:9]1)(\[OH:3])[c:10]1[cH:11][cH:12][n:13][cH:14][cH:15]1,-0.52,25,water,298,1.0,[C:1]([CH2:2][c:4]1[n:5][cH:6][cH:7][n:8][cH:9]1)(=[O:3])[c:10]1[cH:11][cH:12][n:13][cH:14][cH:15]1,[C:1](=[CH:2]/[c:4]1[n:5][cH:6][cH:7][n:8][cH:9]1)(\[OH:3])[c:10]1[cH:11][cH:12][n:13][cH:14][cH:15]1,1,1
2,[C:1]1(=[O:6])[CH2:2][CH2:3][CH2:4][CH2:5]1>>[C:1]1([OH:6])=[CH:2][CH2:3][CH2:4][CH2:5]1,-4.9,25,water,298,1.0,[C:1]1(=[O:6])[CH2:2][CH2:3][CH2:4][CH2:5]1,[C:1]1([OH:6])=[CH:2][CH2:3][CH2:4][CH2:5]1,1,1
3,[C:1]1(=[O:7])[CH2:2][CH2:3][CH2:4][CH2:5][CH2:6]1>>[C:1]1([OH:7])=[CH:2][CH2:3][CH2:4][CH2:5][CH2:6]1,-5.4,25,water,298,1.0,[C:1]1(=[O:7])[CH2:2][CH2:3][CH2:4][CH2:5][CH2:6]1,[C:1]1([OH:7])=[CH:2][CH2:3][CH2:4][CH2:5][CH2:6]1,1,1
4,[C:1]([CH2:2][C:5]([CH3:6])=[O:7])(=[O:3])[CH3:4]>>[C:1](/[CH:2]=[C:5](\[CH3:6])[OH:7])(=[O:3])[CH3:4],0.46,25,methanol,298,1.0,[C:1]([CH2:2][C:5]([CH3:6])=[O:7])(=[O:3])[CH3:4],[C:1](/[CH:2]=[C:5](\[CH3:6])[OH:7])(=[O:3])[CH3:4],1,1
5,[C:1]([CH2:2][C:5]([CH3:6])=[O:7])(=[O:3])[CH3:4]>>[C:1](/[CH:2]=[C:5](\[CH3:6])[OH:7])(=[O:3])[CH3:4],0.53,30,methanol,303,1.0,[C:1]([CH2:2][C:5]([CH3:6])=[O:7])(=[O:3])[CH3:4],[C:1](/[CH:2]=[C:5](\[CH3:6])[OH:7])(=[O:3])[CH3:4],1,1
6,[C:1]([CH2:2][C:5]([O:6][CH2:8][CH3:9])=[O:7])(=[O:3])[CH3:4]>>[C:1](=[CH:2]/[C:5]([O:6][CH2:8][CH3:9])=[O:7])(\[OH:3])[CH3:4],-1.16,20,methanol,293,1.0,[C:1]([CH2:2][C:5]([O:6][CH2:8][CH3:9])=[O:7])(=[O:3])[CH3:4],[C:1](=[CH:2]/[C:5]([O:6][CH2:8][CH3:9])=[O:7])(\[OH:3])[CH3:4],1,1
7,[C:1]([CH2:2][C:5]([O:6][CH2:8][CH3:9])=[O:7])(=[O:3])[CH3:4]>>[C:1](=[CH:2]/[C:5]([O:6][CH2:8][CH3:9])=[O:7])(\[OH:3])[CH3:4],-1.18,30,methanol,303,1.0,[C:1]([CH2:2][C:5]([O:6][CH2:8][CH3:9])=[O:7])(=[O:3])[CH3:4],[C:1](=[CH:2]/[C:5]([O:6][CH2:8][CH3:9])=[O:7])(\[OH:3])[CH3:4],1,1
8,[C:1]([CH2:2][C:5]([O:6][CH2:8][CH3:9])=[O:7])(=[O:3])[CH3:4]>>[C:1](=[CH:2]/[C:5]([O:6][CH2:8][CH3:9])=[O:7])(\[OH:3])[CH3:4],-1.2,40,methanol,313,1.0,[C:1]([CH2:2][C:5]([O:6][CH2:8][CH3:9])=[O:7])(=[O:3])[CH3:4],[C:1](=[CH:2]/[C:5]([O:6][CH2:8][CH3:9])=[O:7])(\[OH:3])[CH3:4],1,1
9,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(=[O:3])[CH3:4]>>[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(\[OH:3])[CH3:4],-0.95,20,methanol,293,1.0,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(=[O:3])[CH3:4],[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(\[OH:3])[CH3:4],1,1
