reaction_index,tabulated_constant,temperature,temperature_celsius,solvent,solvent_original,solvent_part,reactant_smiles,product_smiles,reactant_smiles_mapped,product_smiles_mapped,formal_charge,reactant_is_zwitterion,product_is_zwitterion,n_reactants,n_products
0,-0.02,298,25,water,water,1.0,O=C(Cc1cnccn1)c1cccnc1,O/C(=C\c1cnccn1)c1cccnc1,[C:1]([CH2:2][c:4]1[n:5][cH:6][cH:7][n:8][cH:9]1)(=[O:3])[c:10]1[cH:11][cH:12][cH:13][n:14][cH:15]1,[C:1](=[CH:2]\[c:4]1[n:5][cH:6][cH:7][n:8][cH:9]1)(\[OH:3])[c:10]1[cH:11][cH:12][cH:13][n:14][cH:15]1,0,False,False,1,1
1,-0.52,298,25,water,water,1.0,O=C(Cc1cnccn1)c1ccncc1,O/C(=C/c1cnccn1)c1ccncc1,[C:1]([CH2:2][c:4]1[n:5][cH:6][cH:7][n:8][cH:9]1)(=[O:3])[c:10]1[cH:11][cH:12][n:13][cH:14][cH:15]1,[C:1](=[CH:2]/[c:4]1[n:5][cH:6][cH:7][n:8][cH:9]1)(\[OH:3])[c:10]1[cH:11][cH:12][n:13][cH:14][cH:15]1,0,False,False,1,1
2,-4.9,298,25,water,water,1.0,O=C1CCCC1,OC1=CCCC1,[C:1]1(=[O:6])[CH2:2][CH2:3][CH2:4][CH2:5]1,[C:1]1([OH:6])=[CH:2][CH2:3][CH2:4][CH2:5]1,0,False,False,1,1
3,-5.4,298,25,water,water,1.0,O=C1CCCCC1,OC1=CCCCC1,[C:1]1(=[O:7])[CH2:2][CH2:3][CH2:4][CH2:5][CH2:6]1,[C:1]1([OH:7])=[CH:2][CH2:3][CH2:4][CH2:5][CH2:6]1,0,False,False,1,1
4,0.46,298,25,methanol,methanol,1.0,CC(=O)CC(C)=O,CC(=O)/C=C(\C)O,[C:1]([CH2:2][C:5]([CH3:6])=[O:7])(=[O:3])[CH3:4],[C:1](/[CH:2]=[C:5](\[CH3:6])[OH:7])(=[O:3])[CH3:4],0,False,False,1,1
5,0.53,303,30,methanol,methanol,1.0,CC(=O)CC(C)=O,CC(=O)/C=C(\C)O,[C:1]([CH2:2][C:5]([CH3:6])=[O:7])(=[O:3])[CH3:4],[C:1](/[CH:2]=[C:5](\[CH3:6])[OH:7])(=[O:3])[CH3:4],0,False,False,1,1
6,-1.16,293,20,methanol,methanol,1.0,CCOC(=O)CC(C)=O,CCOC(=O)/C=C(\C)O,[C:1]([CH2:2][C:5]([O:6][CH2:8][CH3:9])=[O:7])(=[O:3])[CH3:4],[C:1](=[CH:2]/[C:5]([O:6][CH2:8][CH3:9])=[O:7])(\[OH:3])[CH3:4],0,False,False,1,1
7,-1.18,303,30,methanol,methanol,1.0,CCOC(=O)CC(C)=O,CCOC(=O)/C=C(\C)O,[C:1]([CH2:2][C:5]([O:6][CH2:8][CH3:9])=[O:7])(=[O:3])[CH3:4],[C:1](=[CH:2]/[C:5]([O:6][CH2:8][CH3:9])=[O:7])(\[OH:3])[CH3:4],0,False,False,1,1
8,-1.2,313,40,methanol,methanol,1.0,CCOC(=O)CC(C)=O,CCOC(=O)/C=C(\C)O,[C:1]([CH2:2][C:5]([O:6][CH2:8][CH3:9])=[O:7])(=[O:3])[CH3:4],[C:1](=[CH:2]/[C:5]([O:6][CH2:8][CH3:9])=[O:7])(\[OH:3])[CH3:4],0,False,False,1,1
9,-0.95,293,20,methanol,methanol,1.0,CC(=O)CC(=O)Nc1ccccc1,C/C(O)=C\C(=O)Nc1ccccc1,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(=[O:3])[CH3:4],[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(\[OH:3])[CH3:4],0,False,False,1,1
10,0.18,303,30,methanol,methanol,1.0,CC(=O)CC(=O)Nc1ccccc1C,C/C(O)=C\C(=O)Nc1ccccc1C,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[c:9]([CH3:14])[cH:10][cH:11][cH:12][cH:13]1)(=[O:3])[CH3:4],[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[c:9]([CH3:14])[cH:10][cH:11][cH:12][cH:13]1)(\[OH:3])[CH3:4],0,False,False,1,1
11,0.33,303,30,methanol,methanol,1.0,CC(=O)CC(=O)Nc1ccccc1Cl,C/C(O)=C\C(=O)Nc1ccccc1Cl,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[c:9]([Cl:14])[cH:10][cH:11][cH:12][cH:13]1)(=[O:3])[CH3:4],[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[c:9]([Cl:14])[cH:10][cH:11][cH:12][cH:13]1)(\[OH:3])[CH3:4],0,False,False,1,1
12,0.37,303,30,methanol,methanol,1.0,COc1ccccc1NC(=O)CC(C)=O,COc1ccccc1NC(=O)/C=C(\C)O,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[c:9]([O:14][CH3:15])[cH:10][cH:11][cH:12][cH:13]1)(=[O:3])[CH3:4],[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[c:9]([O:14][CH3:15])[cH:10][cH:11][cH:12][cH:13]1)(\[OH:3])[CH3:4],0,False,False,1,1
13,0.18,303,30,methanol,methanol,1.0,CC(=O)CC(=O)Nc1ccc(C)cc1C,C/C(O)=C\C(=O)Nc1ccc(C)cc1C,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[c:9]([CH3:14])[cH:10][c:11]([CH3:15])[cH:12][cH:13]1)(=[O:3])[CH3:4],[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[c:9]([CH3:14])[cH:10][c:11]([CH3:15])[cH:12][cH:13]1)(\[OH:3])[CH3:4],0,False,False,1,1
14,-0.59,298,25,methanol,methanol,1.0,O=C(CC(=O)c1ccccc1)Nc1ccccc1,O=C(/C=C(/O)c1ccccc1)Nc1ccccc1,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(=[O:3])[c:4]1[cH:14][cH:15][cH:16][cH:17][cH:18]1,[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(\[OH:3])[c:4]1[cH:14][cH:15][cH:16][cH:17][cH:18]1,0,False,False,1,1
15,-0.61,298,25,methanol,methanol,1.0,Cc1cccc(NC(=O)CC(=O)c2ccccc2)c1,Cc1cccc(NC(=O)/C=C(/O)c2ccccc2)c1,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][c:10]([CH3:19])[cH:11][cH:12][cH:13]1)(=[O:3])[c:4]1[cH:14][cH:15][cH:16][cH:17][cH:18]1,[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][c:10]([CH3:19])[cH:11][cH:12][cH:13]1)(\[OH:3])[c:4]1[cH:14][cH:15][cH:16][cH:17][cH:18]1,0,False,False,1,1
16,-0.72,298,25,methanol,methanol,1.0,Cc1ccc(NC(=O)CC(=O)c2ccccc2)cc1,Cc1ccc(NC(=O)/C=C(/O)c2ccccc2)cc1,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][c:11]([CH3:19])[cH:12][cH:13]1)(=[O:3])[c:4]1[cH:14][cH:15][cH:16][cH:17][cH:18]1,[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][c:11]([CH3:19])[cH:12][cH:13]1)(\[OH:3])[c:4]1[cH:14][cH:15][cH:16][cH:17][cH:18]1,0,False,False,1,1
17,-0.39,298,25,methanol,methanol,1.0,O=C(CC(=O)c1ccccc1)Nc1cccc(Cl)c1,O=C(/C=C(/O)c1ccccc1)Nc1cccc(Cl)c1,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][c:10]([Cl:19])[cH:11][cH:12][cH:13]1)(=[O:3])[c:4]1[cH:14][cH:15][cH:16][cH:17][cH:18]1,[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][c:10]([Cl:19])[cH:11][cH:12][cH:13]1)(\[OH:3])[c:4]1[cH:14][cH:15][cH:16][cH:17][cH:18]1,0,False,False,1,1
18,-0.51,298,25,methanol,methanol,1.0,O=C(CC(=O)c1ccccc1)Nc1ccc(Cl)cc1,O=C(/C=C(/O)c1ccccc1)Nc1ccc(Cl)cc1,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][c:11]([Cl:19])[cH:12][cH:13]1)(=[O:3])[c:4]1[cH:14][cH:15][cH:16][cH:17][cH:18]1,[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][c:11]([Cl:19])[cH:12][cH:13]1)(\[OH:3])[c:4]1[cH:14][cH:15][cH:16][cH:17][cH:18]1,0,False,False,1,1
