reaction_index,reactant_smiles,product_smiles,site_search_mode,n_enumerated_tautomers,n_enumerated_protomers,reactant_in_pool,product_in_pool,reactant_match_mode,product_match_mode,enumerated_smiles
0,O=C(Cc1cnccn1)c1cccnc1,O/C(=C\c1cnccn1)c1cccnc1,default,3,6,True,True,isomeric,nonisomeric,O=C(Cc1cnccn1)c1cccnc1|[O-]C(=Cc1cncc[nH+]1)c1cccnc1|O=C(C=C1C=[NH+]C=C[N-]1)c1cccnc1|O=C(C=C1C=NC=CN1)c1cccnc1|O=C(C=C1C=NC=C[N-]1)c1ccc[nH+]c1|OC(=Cc1cnccn1)c1cccnc1
1,O=C(Cc1cnccn1)c1ccncc1,O/C(=C/c1cnccn1)c1ccncc1,default,3,6,True,True,isomeric,nonisomeric,O=C(Cc1cnccn1)c1ccncc1|O=C(C=C1C=[NH+]C=C[N-]1)c1ccncc1|OC(=Cc1cnccn1)c1ccncc1|[O-]C(=Cc1cncc[nH+]1)c1ccncc1|O=C(C=C1C=NC=C[N-]1)c1cc[nH+]cc1|O=C(C=C1C=NC=CN1)c1ccncc1
2,O=C1CCCC1,OC1=CCCC1,default,2,2,True,True,isomeric,isomeric,OC1=CCCC1|O=C1CCCC1
3,O=C1CCCCC1,OC1=CCCCC1,default,2,2,True,True,isomeric,isomeric,O=C1CCCCC1|OC1=CCCCC1
4,CC(=O)CC(C)=O,CC(=O)/C=C(\C)O,default,5,5,True,True,isomeric,nonisomeric,C=C(O)C=C(C)O|C=C(O)CC(C)=O|CC(=O)C=C(C)O|CC(=O)CC(C)=O|C=C(O)CC(=C)O
5,CC(=O)CC(C)=O,CC(=O)/C=C(\C)O,default,5,5,True,True,isomeric,nonisomeric,C=C(O)C=C(C)O|C=C(O)CC(C)=O|CC(=O)C=C(C)O|CC(=O)CC(C)=O|C=C(O)CC(=C)O
6,CCOC(=O)CC(C)=O,CCOC(=O)/C=C(\C)O,default,2,2,True,True,isomeric,nonisomeric,CCOC(=O)C=C(C)O|CCOC(=O)CC(C)=O
7,CCOC(=O)CC(C)=O,CCOC(=O)/C=C(\C)O,default,2,2,True,True,isomeric,nonisomeric,CCOC(=O)C=C(C)O|CCOC(=O)CC(C)=O
8,CCOC(=O)CC(C)=O,CCOC(=O)/C=C(\C)O,default,2,2,True,True,isomeric,nonisomeric,CCOC(=O)C=C(C)O|CCOC(=O)CC(C)=O
9,CC(=O)CC(=O)Nc1ccccc1,C/C(O)=C\C(=O)Nc1ccccc1,default,8,17,True,True,isomeric,nonisomeric,CC(O)=CC([O-])=[NH+]c1ccccc1|CC(=O)CC(=O)Nc1ccccc1|CC(=O)CC([O-])=[NH+]c1ccccc1|C=C([O-])CC(=O)[NH2+]c1ccccc1|CC(O)=CC(=O)Nc1ccccc1|C=C(O)C=C([O-])[NH2+]c1ccccc1|C=C(O)CC(=O)Nc1ccccc1|CC(=O)CC(O)=Nc1ccccc1|C=C(O)CC([O-])=[NH+]c1ccccc1|C=C([O-])C=C(O)[NH2+]c1ccccc1|CC(O)=CC(O)=Nc1ccccc1|C=C(O)C=C(O)Nc1ccccc1|C=C([O-])CC(O)=[NH+]c1ccccc1|CC(=O)C=C(O)Nc1ccccc1|CC([O-])=CC(O)=[NH+]c1ccccc1|C=C(O)CC(O)=Nc1ccccc1|CC(=O)C=C([O-])[NH2+]c1ccccc1
