unique_ID,SMILES,InChI,original_IUPAC_names,seed_formal_charge,required_charges,charge_ranges,pka_transitions_json,n_transitions
perrin1,CC(=N)N,"InChI=1S/C2H6N2/c1-2(3)4/h1H3,(H3,3,4)","methane, amidino-",0,1,1:1,"{""pKaH1"": 1}",1
perrin10,C[Si](C)(C)CN,"InChI=1S/C4H13NSi/c1-6(2,3)4-5/h4-5H2,1-3H3","methane, aminotrimethylsilyl-",0,1,1:1,"{""pKaH1"": 1}",1
perrin100,CN(C)CCC#N,"InChI=1S/C5H10N2/c1-7(2)5-3-4-6/h3,5H2,1-2H3","ethane, 1-cyano-2-dimethylamino-",0,1,1:1,"{""pKaH1"": 1}",1
perrin1000,CC(C=C(c1cccs1)c1cccs1)N1CCCCC1,"InChI=1S/C17H21NS2/c1-14(18-9-3-2-4-10-18)13-15(16-7-5-11-19-16)17-8-6-12-20-17/h5-8,11-14H,2-4,9-10H2,1H3","piperidine, 1-(1-methyl-3,3-dithienyl)prop-2-enyl-",0,1,1:1,"{""pKaH1"": 1}",1
perrin1001,CC(C=C(c1cccs1)c1cccs1)N1CCCCC1C,"InChI=1S/C18H23NS2/c1-14-7-3-4-10-19(14)15(2)13-16(17-8-5-11-20-17)18-9-6-12-21-18/h5-6,8-9,11-15H,3-4,7,10H2,1-2H3","piperidine, 2-methyl-1-(1-methyl-3,3-dithienyl)prop-2-enyl-",0,1,1:1,"{""pKaH1"": 1}",1
perrin1002,CC1CCCN(C(C)C=C(c2cccs2)c2cccs2)C1,"InChI=1S/C18H23NS2/c1-14-6-3-9-19(13-14)15(2)12-16(17-7-4-10-20-17)18-8-5-11-21-18/h4-5,7-8,10-12,14-15H,3,6,9,13H2,1-2H3","piperidine, 3-methyl-1-(1-methyl-3,3-dithienyl)prop-2-enyl-",0,1,1:1,"{""pKaH1"": 1}",1
perrin1003,CC1CCN(C(C)C=C(c2cccs2)c2cccs2)CC1,"InChI=1S/C18H23NS2/c1-14-7-9-19(10-8-14)15(2)13-16(17-5-3-11-20-17)18-6-4-12-21-18/h3-6,11-15H,7-10H2,1-2H3","piperidine, 4-methyl-1-(1-methyl-3,3-dithienyl)prop-2-enyl-",0,1,1:1,"{""pKaH1"": 1}",1
perrin1004,CCC(C)N1CCC(c2ccccc2)(c2ccccc2)CC1,"InChI=1S/C21H27N/c1-3-18(2)22-16-14-21(15-17-22,19-10-6-4-7-11-19)20-12-8-5-9-13-20/h4-13,18H,3,14-17H2,1-2H3","piperidine, 1-(1-methylpropyl)-4,4-diphenyl-",0,1,1:1,"{""pKaH1"": 1}",1
perrin1005,CN1C(C)(C)CCCC1(C)C,"InChI=1S/C10H21N/c1-9(2)7-6-8-10(3,4)11(9)5/h6-8H2,1-5H3","piperidine, 1,2,2,6,6-pentamethyl-",0,1,1:1,"{""pKaH1"": 1}",1
perrin1006,C1CCN(CCN2CCCCC2)CC1,InChI=1S/C12H24N2/c1-3-7-13(8-4-1)11-12-14-9-5-2-6-10-14/h1-12H2,"piperidine, 1-(2-piperidino)ethyl-",0,1;2,1:2,"{""pKaH1"": 1, ""pKaH2"": 2}",2
