unique_ID,SMILES,original_IUPAC_names,seed_formal_charge,pka_type,required_charge,found,protomer_count,reason,expansion_stage
perrin11,CC(N)=O,"methane, carbamoyl-",0,pKaH2,2,False,0,charge_state_unreachable,unlimited
perrin1148,O=Cc1ccccn1,"pyridine, 2-formyl-",0,pKa1,-1,False,0,charge_state_unreachable,unlimited
perrin1149,O=Cc1cccnc1,"pyridine, 3-formyl-",0,pKa1,-1,False,0,charge_state_unreachable,unlimited
perrin1150,O=Cc1ccncc1,"pyridine, 4-formyl-",0,pKa1,-1,False,0,charge_state_unreachable,unlimited
perrin1153,COc1cccnc1C=O,"pyridine, 2-formyl-3-methoxy-",0,pKa1,-1,False,0,charge_state_unreachable,unlimited
perrin1154,COc1cnccc1C=O,"pyridine, 4-formyl-3-methoxy-",0,pKa1,-1,False,0,charge_state_unreachable,unlimited
perrin1271,CCC1C=[N+](C)CC(CC)C1.[O-][Cl+3]([O-])([O-])[O-],"3,5-Diethyl-1-methyl-2,3,4,5-tetrahydropyridinium perchlorate",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin1296,[O-][n+]1ccccc1,Pyridine 1-oxide,0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin1301,Nc1ccc[n+]([O-])c1,"pyridine, 1-oxide, 3-amino-",0,pKaH2,2,False,0,charge_state_unreachable,unlimited
perrin1302,Nc1cc[n+]([O-])cc1,"pyridine, 1-oxide, 4-amino-",0,pKaH2,2,False,0,charge_state_unreachable,unlimited
perrin1303,Nc1cccc(-c2cccc[n+]2[O-])c1,"pyridine, 1-oxide, 2-m-aminophenyl-",0,pKaH2,2,False,0,charge_state_unreachable,unlimited
perrin1304,Nc1ccc(-c2cccc[n+]2[O-])cc1,"pyridine, 1-oxide, 2-p-aminophenyl-",0,pKaH2,2,False,0,charge_state_unreachable,unlimited
perrin1307,[O-][n+]1ccc(OCc2ccccc2)cc1,"pyridine, 1-oxide, 4-benzyloxy-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin1308,[O-][n+]1ccccc1SCc1ccccc1,"pyridine, 1-oxide, 2-benzylthio-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin1309,[O-][n+]1ccc(SCc2ccccc2)cc1,"pyridine, 1-oxide, 4-benzylthio-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin131,C[N+]([O-])(CCCl)CCCl,Methylbis(2-chloroethyl)amine N-oxide,0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin1310,CCCCOC(=O)c1ccc[n+]([O-])c1,"pyridine, 1-oxide, 3-butoxycarbonyl-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin1311,O=C(O)c1ccc[n+]([O-])c1,"pyridine, 1-oxide, 3-carboxy-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin1312,O=C(O)c1cc[n+]([O-])cc1,"pyridine, 1-oxide, 4-carboxy-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin1315,CCOc1cccc[n+]1[O-],"pyridine, 1-oxide, 2-ethoxy-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin1316,[O-][n+]1ccccc1O,"pyridine, 1-oxide, 2-hydroxy-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin1317,[O-][n+]1ccc(O)cc1,"pyridine, 1-oxide, 4-hydroxy-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin1318,[O-][n+]1ccccc1S,"pyridine, 1-oxide, 2-mercapto-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin1319,COc1cccc[n+]1[O-],"pyridine, 1-oxide, 2-methoxy-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin1320,COc1cc[n+]([O-])cc1,"pyridine, 1-oxide, 4-methoxy-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin1321,Cc1ccc[n+]([O-])c1,"pyridine, 1-oxide, 3-methyl-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin1322,Cc1cc[n+]([O-])cc1,"pyridine, 1-oxide, 4-methyl-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin1329,O=[N+]([O-])c1cc[n+]([O-])cc1,"pyridine, 1-oxide, 4-nitro-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin133,CC[N+]([O-])(CC)CC,Triethylamine N-oxide,0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin1330,O=[N+]([O-])c1cccc(-c2cccc[n+]2[O-])c1,"pyridine, 1-oxide, 2-m-nitrophenyl-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin1331,O=[N+]([O-])c1ccc(-c2cccc[n+]2[O-])cc1,"pyridine, 1-oxide, 2-p-nitrophenyl-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin1332,O=[N+]([O-])c1cccc(-c2ccc[n+]([O-])c2)c1,"pyridine, 1-oxide, 3-m-nitrophenyl-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin1333,O=[N+]([O-])c1cccc(-c2cc[n+]([O-])cc2)c1,"pyridine, 1-oxide, 4-m-nitrophenyl-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin1333a,O=[N+]([O-])c1ccc(-c2cc[n+]([O-])cc2)cc1,"pyridine, 1-oxide, 4-p-nitrophenyl-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin1334,[O-][n+]1ccccc1-c1ccccc1,"pyridine, 1-oxide, 2-phenyl-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin1335,[O-][n+]1cccc(-c2ccccc2)c1,"pyridine, 1-oxide, 3-phenyl-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin1336,[O-][n+]1ccc(-c2ccccc2)cc1,"pyridine, 1-oxide, 4-phenyl-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin134,CC(=O)NCC(C)C,"propane, 1-acetamido-2-methyl-",0,pKaH2,2,False,0,charge_state_unreachable,unlimited
perrin1378,CC1C=[N+](C)CC1C.[O-][Cl+3]([O-])([O-])[O-],"1,3,4-Trimethyl-1-pyrrolinium, perchlorate-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin176,CC(CC(C(=O)O)(c1ccccc1)c1ccccc1)N(C)C,"propane, 1-carboxy-3-dimethylamino-3-methyl-1,1-diphenyl-",0,pKa2,-2,False,0,charge_state_unreachable,unlimited
perrin1922,[O-][n+]1ccc2ccccc2c1,Isoquinoline-2-oxide,0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin1948,O=S(=O)(O)c1cc(Br)c(O)c2ncccc12,"quinoline, 7-bromo-8-hydroxy-5-sulpho-",0,pKa3,-3,False,0,charge_state_unreachable,unlimited
perrin1968,O=S(=O)(O)c1cc(Cl)c(O)c2ncccc12,"quinoline, 7-chloro-8-hydroxy-5-sulpho-",0,pKa3,-3,False,0,charge_state_unreachable,unlimited
perrin2027,Oc1c(CN2CCCCC2)ccc2cccnc12,"quinoline, 8-hydroxy-7-(1-piperidyl)methyl-",0,pKa2,-2,False,0,charge_state_unreachable,unlimited
perrin2084,[O-][n+]1cccc2ccccc21,Quinoline 1-oxide,0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin2085,Nc1cc[n+]([O-])c2ccccc12,"Quinoline 1-oxide, 4-amino-",0,pKaH2,2,False,0,charge_state_unreachable,unlimited
perrin2086,[O-][n+]1c(O)ccc2ccccc21,"Quinoline 1-oxide, 2-hydroxy-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin229,CCCCNC(C)=O,"butane, 1-acetamido-",0,pKaH2,2,False,0,charge_state_unreachable,unlimited
perrin2366,c1cnc2ncncc2n1,Pteridine,0,pKa1,-1,False,0,charge_state_unreachable,unlimited
perrin2450,Cn1c(=O)ncc2nccnc21,"pteridine, 1,2-dihydro-1-methyl-2-oxo-",0,pKa1,-1,False,0,charge_state_unreachable,unlimited
perrin2452,Cn1cc2nccnc2nc1=O,"pteridine, 2,3-dihydro-3-methyl-2-oxo-",0,pKa1,-1,False,0,charge_state_unreachable,unlimited
perrin2461,Cc1nc2cnc(=O)nc-2n(C)c1C,"pteridine, 2,8-dihydro-6,7,8-trimethyl-2-oxo-",0,pKa1,-1,False,0,charge_state_unreachable,unlimited
perrin2672,O=C(O)c1ccc2nc3ccccc3cc2c1,"acridine, 2-carboxy-",0,pKaH2,2,False,0,charge_state_unreachable,unlimited
perrin2673,O=C(O)c1cccc2cc3ccccc3nc12,"acridine, 4-carboxy-",0,pKaH2,2,False,0,charge_state_unreachable,unlimited
perrin2706,C[n+]1c2ccccc2cc2ccccc21.[Br-],10-Methylacridinium bromide,0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin2731,Cc1c2ccccc2c2ccccc2[n+]1C.[Cl-],"5,6-Dimethylphenanthridinium chloride",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin2732,C[n+]1cc2ccccc2c2ccccc21.[Cl-],5-Methylphenanthridinium chloride,0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin28,CNC(C)=O,"methane, methylcarbamoyl-",0,pKaH2,2,False,0,charge_state_unreachable,unlimited
perrin2817,Cc1cc2nc3ccc(N(C)C)cc3nc2cc1N,"phenazine, 2-amino-8-dimethylamino-3-methyl-",0,pKaH5,5,False,0,charge_state_unreachable,unlimited
perrin3,NCC(N)=O,"methane, C-amino-C-carbamoyl-",0,pKaH3,3,False,0,charge_state_unreachable,unlimited
perrin3097,C[N+](C)(C)c1ccc(C(=O)[O-])cc1,p-Benzbetaine,0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3099,C[N+](C)(C)CC(=O)[O-],Betaine,0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3100,C[N+](C)(C)CCCC(=O)[O-],γ-Butyrobetaine,0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin32,C[N+](C)(C)[O-],Trimethylamine N-oxide,0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3411,CC(=O)O,Acetic acid,0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3412,CC(C)=O,Acetone,0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3413,CC(=O)c1ccccc1,Acetophenone,0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3414,O=C(C=Cc1ccccc1)c1ccccc1,"acetophenone, benzal-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3415,CC(=O)c1cccc(Br)c1,"acetophenone, m-bromo-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3416,CC(=O)c1ccc(Br)cc1,"acetophenone, p-bromo-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3417,CC(=O)c1cccc(Cl)c1,"acetophenone, m-chloro-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3418,CC(=O)c1ccc(Cl)cc1,"acetophenone, p-chloro-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3419,CC(=O)c1c(C)cccc1C,"acetophenone, 2,6-dimethyl-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3420,CCOc1cccc(C(C)=O)c1,"acetophenone, m-ethoxy-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3421,CCOc1ccc(C(C)=O)cc1,"acetophenone, p-ethoxy-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3422,CCc1ccc(C(C)=O)cc1,"acetophenone, p-ethyl-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3423,CC(=O)c1ccc(F)cc1,"acetophenone, p-fluoro-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3424,CC(=O)c1cccc(O)c1,"acetophenone, m-hydroxy-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3425,CC(=O)c1ccc(O)cc1,"acetophenone, p-hydroxy-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3426,COc1cccc(C(C)=O)c1,"acetophenone, m-methoxy-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3427,COc1ccc(C(C)=O)cc1,"acetophenone, p-methoxy-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3428,CC(=O)c1cccc(C)c1,"acetophenone, m-methyl-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3429,CC(=O)c1ccc(C)cc1,"acetophenone, p-methyl-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3430,CC(=O)c1cccc([N+](=O)[O-])c1,"acetophenone, m-nitro-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3431,CC(=O)c1ccc([N+](=O)[O-])cc1,"acetophenone, p-nitro-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3432,CC(=O)c1c(C)cc(C)cc1C,"acetophenone, 2,4,6-trimethyl-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3435,COc1ccccc1,Anisole,0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3436,c1cc2ccc3cc4cccc5ccc6cc(c1)c2c3c6c54,Anthanthrene,0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3437,O=c1c2ccc3cccc4c(=O)c5ccc6cccc1c6c5-c2c34,Anthanthrone,0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3438,c1ccc2cc3ccccc3cc2c1,Anthracene,0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3440,O=C1c2ccccc2Cc2ccccc21,Anthrone,0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3441,O=Cc1ccccc1,Benzaldehyde,0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3442,O=Cc1cccc(Cl)c1,"benzaldehyde, m-chloro-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3443,O=Cc1ccc(Cl)cc1,"benzaldehyde, p-chloro-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3444,COc1ccc(C=O)cc1,"benzaldehyde, p-methoxy-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3445,Cc1ccccc1C=O,"benzaldehyde, o-methyl-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3446,Cc1cccc(C=O)c1,"benzaldehyde, m-methyl-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3447,Cc1ccc(C=O)cc1,"benzaldehyde, p-methyl-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3448,O=Cc1ccc([N+](=O)[O-])cc1,"benzaldehyde, p-nitro-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3449,CCc1cc(CC)c(C=O)c(CC)c1,"benzaldehyde, 2,4,6-triethyl-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3450,CC(C)c1cc(C(C)C)c(C=O)c(C(C)C)c1,"benzaldehyde, 2,4,6-triisopropyl-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3451,Cc1cc(C)c(C=O)c(C)c1,"benzaldehyde, 2,4,6-trimethyl-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3466,c1ccc2cc3c(ccc4ccccc43)cc2c1,Benzanthracene,0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3467,O=C1c2ccccc2-c2cccc3cccc1c23,Benzanthrone,0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3468,CCCCOc1ccccc1,"benzene, n-butoxy-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3469,CCC(C)Oc1ccccc1,"benzene, s-butoxy-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3470,CCOc1ccccc1,"benzene, ethoxy-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3471,Cc1c(C)c(C)c(C)c(C)c1C,"benzene, hexamethyl-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
perrin3472,CC(C)COc1ccccc1,"benzene, isobutoxy-",0,pKaH1,1,False,0,charge_state_unreachable,unlimited
