unique_ID,SMILES,original_IUPAC_names,seed_formal_charge,pka_type,required_charge,found,protomer_count,reason,expansion_stage
perrin1,CC(=N)N,"methane, amidino-",0,pKaH1,1,True,2,,0
perrin10,C[Si](C)(C)CN,"methane, aminotrimethylsilyl-",0,pKaH1,1,True,1,,0
perrin100,CN(C)CCC#N,"ethane, 1-cyano-2-dimethylamino-",0,pKaH1,1,True,2,,0
perrin1000,CC(C=C(c1cccs1)c1cccs1)N1CCCCC1,"piperidine, 1-(1-methyl-3,3-dithienyl)prop-2-enyl-",0,pKaH1,1,True,1,,0
perrin1001,CC(C=C(c1cccs1)c1cccs1)N1CCCCC1C,"piperidine, 2-methyl-1-(1-methyl-3,3-dithienyl)prop-2-enyl-",0,pKaH1,1,True,1,,0
perrin1002,CC1CCCN(C(C)C=C(c2cccs2)c2cccs2)C1,"piperidine, 3-methyl-1-(1-methyl-3,3-dithienyl)prop-2-enyl-",0,pKaH1,1,True,1,,0
perrin1003,CC1CCN(C(C)C=C(c2cccs2)c2cccs2)CC1,"piperidine, 4-methyl-1-(1-methyl-3,3-dithienyl)prop-2-enyl-",0,pKaH1,1,True,1,,0
perrin1004,CCC(C)N1CCC(c2ccccc2)(c2ccccc2)CC1,"piperidine, 1-(1-methylpropyl)-4,4-diphenyl-",0,pKaH1,1,True,1,,0
perrin1005,CN1C(C)(C)CCCC1(C)C,"piperidine, 1,2,2,6,6-pentamethyl-",0,pKaH1,1,True,1,,0
perrin1006,C1CCN(CCN2CCCCC2)CC1,"piperidine, 1-(2-piperidino)ethyl-",0,pKaH1,1,True,1,,0
perrin1006,C1CCN(CCN2CCCCC2)CC1,"piperidine, 1-(2-piperidino)ethyl-",0,pKaH2,2,True,1,,0
perrin1007,C1CCN(CCCN2CCCCC2)CC1,"piperidine, 1-(3-piperidino)propyl-",0,pKaH1,1,True,1,,0
perrin1007,C1CCN(CCCN2CCCCC2)CC1,"piperidine, 1-(3-piperidino)propyl-",0,pKaH2,2,True,1,,0
perrin1008,C1CCC(C2CCCCN2)NC1,"piperidine, 2-(2-piperidyl)-",0,pKaH1,1,True,1,,0
perrin1008,C1CCC(C2CCCCN2)NC1,"piperidine, 2-(2-piperidyl)-",0,pKaH2,2,True,1,,0
perrin1009,CCCN1CCCCC1,"piperidine, 1-n-propyl-",0,pKaH1,1,True,1,,0
perrin101,CCN(C#N)CC,"ethane, N-cyano-N-ethylamino-",0,pKaH1,1,True,2,,0
perrin1010,CCCC1CCCCN1,"piperidine, 2-n-propyl-",0,pKb1,1,True,1,,0
perrin1011,c1cncc([C@@H]2CCCCN2)c1,"piperidine, 2-(3-pyridyl)-",0,pKaH1,1,True,2,,0
perrin1011,c1cncc([C@@H]2CCCCN2)c1,"piperidine, 2-(3-pyridyl)-",0,pKaH2,2,True,1,,0
perrin1012,CC1CCN(C)C(C)(C)C1,"piperidine, 1,2,2,4-tetramethyl-",0,pKaH1,1,True,1,,0
perrin1013,CC1CCCC(C)(C)N1C,"piperidine, 1,2,2,6-tetramethyl-",0,pKaH1,1,True,1,,0
perrin1014,CC1(C)CCCC(C)(C)N1,"piperidine, 2,2,6,6-tetramethyl-",0,pKaH1,1,True,1,,0
perrin1015,C[C@@H]1CCC[C@H](C)N1C,"piperidine, cis-1,2,6-trimethyl-",0,pKaH1,1,True,1,,0
perrin1016,CC1CCNC(C)(C)C1,"piperidine, 2,2,4-trimethyl-",0,pKaH1,1,True,1,,0
perrin1017,CC1CCCC(C)(C)N1,"piperidine, 2,2,6-trimethyl-",0,pKaH1,1,True,1,,0
perrin1018,c1ccncc1,Pyridine,0,pKaH1,1,True,1,,0
perrin1019,CC(=O)Nc1ccccn1,"pyridine, 2-acetamido-",0,pKaH1,1,True,10,,0
perrin102,CC(C)NCCC#N,"ethane, 1-cyano-2-isopropylamino-",0,pKaH1,1,True,2,,0
perrin1020,CC(=O)Nc1cccnc1,"pyridine, 3-acetamido-",0,pKaH1,1,True,6,,0
perrin1021,CC(=O)Nc1ccncc1,"pyridine, 4-acetamido-",0,pKaH1,1,True,10,,0
perrin1022,CC(=O)c1cccnc1,"pyridine, 3-acetyl-",0,pKaH1,1,True,2,,0
perrin1023,CC(=O)N=c1ccccn1C,"pyridine, 2-acetylimino-1,2-dihydro-1-methyl-",0,pKaH1,1,True,5,,0
perrin1024,CC(=O)N=c1ccn(C)cc1,"pyridine, 4-acetylimino-1,4-dihydro-1-methyl-",0,pKaH1,1,True,5,,0
perrin1025,Nc1ccccn1,"pyridine, 2-amino-",0,pKaH1,1,True,4,,0
perrin1025,Nc1ccccn1,"pyridine, 2-amino-",0,pKaH2,2,True,2,,0
perrin1026,Nc1cccnc1,"pyridine, 3-amino-",0,pKaH1,1,True,2,,0
perrin1026,Nc1cccnc1,"pyridine, 3-amino-",0,pKaH2,2,True,1,,0
perrin1027,Nc1ccncc1,"pyridine, 4-amino-",0,pKaH1,1,True,4,,0
perrin1027,Nc1ccncc1,"pyridine, 4-amino-",0,pKaH2,2,True,2,,0
perrin1028,Nc1ccncc1Br,"pyridine, 4-amino-3-bromo-",0,pKaH1,1,True,4,,0
perrin1029,Nc1ncccc1C(=O)O,"pyridine, 2-amino-3-carboxy-",0,pKa1,-1,True,7,,0
perrin1029,Nc1ncccc1C(=O)O,"pyridine, 2-amino-3-carboxy-",0,pKb1,1,True,6,,0
perrin103,CCN(CC)CC#N,"ethane, N-cyanomethyl-N-ethylamino-",0,pKaH1,1,True,2,,0
perrin1030,Nc1cccnc1C(=O)O,"pyridine, 3-amino-2-carboxy-",0,pKa1,-1,True,6,,0
perrin1030,Nc1cccnc1C(=O)O,"pyridine, 3-amino-2-carboxy-",0,pKb1,1,True,6,,0
perrin1031,Nc1ccc(Cl)cn1,"pyridine, 2-amino-5-chloro-",0,pKaH1,1,True,4,,0
perrin1032,CC1=CCN(N)C(C)=C1,"pyridine, 1-amino-4,6-dimethyl-",0,pKaH1,1,True,2,,0
perrin1033,Cc1cncc(C)c1N,"pyridine, 4-amino-3,5-dimethyl-",0,pKaH1,1,True,4,,0
perrin1034,NCCc1ccccn1,"pyridine, 2-(2-aminoethyl)-",0,pKaH1,1,True,4,,0
perrin1034,NCCc1ccccn1,"pyridine, 2-(2-aminoethyl)-",0,pKaH2,2,True,2,,0
perrin1035,CCc1cnccc1N,"pyridine, 4-amino-3-ethyl-",0,pKaH1,1,True,4,,0
perrin1036,CC(C)c1cnccc1N,"pyridine, 4-amino-3-isopropyl-",0,pKaH1,1,True,4,,0
perrin1037,NCc1ccccn1,"pyridine, 2-aminomethyl-",0,pKaH1,1,True,2,,0
perrin1037,NCc1ccccn1,"pyridine, 2-aminomethyl-",0,pKb1,1,True,2,,0
perrin1037,NCc1ccccn1,"pyridine, 2-aminomethyl-",0,pKaH2,2,True,1,,0
perrin1038,Cc1cccnc1N,"pyridine, 2-amino-3-methyl-",0,pKaH1,1,True,4,,0
perrin1039,Cc1ccnc(N)c1,"pyridine, 2-amino-4-methyl-",0,pKaH1,1,True,4,,0
perrin104,NCCN,"ethane, 1,2-diamino-",0,pKaH1,1,True,1,,0
perrin104,NCCN,"ethane, 1,2-diamino-",0,pKaH2,2,True,1,,0
perrin1040,Cc1ccc(N)nc1,"pyridine, 2-amino-5-methyl-",0,pKaH1,1,True,4,,0
perrin1041,Cc1cccc(N)n1,"pyridine, 2-amino-6-methyl-",0,pKaH1,1,True,12,,0
perrin1042,NCc1cccnc1,"pyridine, 3-aminomethyl-",0,pKb1,1,True,2,,0
perrin1043,Cc1cnccc1N,"pyridine, 4-amino-3-methyl-",0,pKaH1,1,True,4,,0
perrin1044,Cc1ccc(CN)cn1,"pyridine, 3-aminomethyl-6-methyl-",0,pKaH1,1,True,4,,0
perrin1044,Cc1ccc(CN)cn1,"pyridine, 3-aminomethyl-6-methyl-",0,pKaH2,2,True,2,,0
perrin1045,Nc1ccc(-c2ccccn2)cc1,"pyridine, 2-p-aminophenyl-",0,pKaH1,1,True,6,,0
perrin1045,Nc1ccc(-c2ccccn2)cc1,"pyridine, 2-p-aminophenyl-",0,pKaH2,2,True,3,,0
perrin1046,Nc1ccc(-c2ccncc2)cc1,"pyridine, 4-p-aminophenyl-",0,pKaH1,1,True,6,,0
perrin1046,Nc1ccc(-c2ccncc2)cc1,"pyridine, 4-p-aminophenyl-",0,pKaH2,2,True,3,,0
perrin1047,Nc1ccc(S(=O)(=O)Nc2ccc(N)nc2)cc1,"pyridine, 2-amino-5-sulphanilamido-",0,pKa1,-1,True,8,,0
perrin1047,Nc1ccc(S(=O)(=O)Nc2ccc(N)nc2)cc1,"pyridine, 2-amino-5-sulphanilamido-",0,pKb1,1,True,9,,0
perrin1047,Nc1ccc(S(=O)(=O)Nc2ccc(N)nc2)cc1,"pyridine, 2-amino-5-sulphanilamido-",0,pKb2,2,True,15,,0
perrin1048,Nc1ccc(S(=O)(=O)Nc2ccc(N)cn2)cc1,"pyridine, 5-amino-2-sulphanilamido-",0,pKa1,-1,True,6,,0
perrin1048,Nc1ccc(S(=O)(=O)Nc2ccc(N)cn2)cc1,"pyridine, 5-amino-2-sulphanilamido-",0,pKb1,1,True,8,,0
perrin1048,Nc1ccc(S(=O)(=O)Nc2ccc(N)cn2)cc1,"pyridine, 5-amino-2-sulphanilamido-",0,pKb2,2,True,12,,0
